Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 15768 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	5n	7n	8n	6n	4n	9n	10n	11n	3n	
69.99998	43.79400	1.15300E+3	1.91362E+2	9.61635E+2	1.54362E+2	0.0	0.0	1.23577E+1	2.31067E+1	0.0	0.0	0.0	0.21936E+0
72.14281	45.82920	1.23243E+3	1.78283E+2	1.05414E+3	1.32481E+2	0.0	0.0	3.45467E+1	9.45736E+0	0.0	0.0	0.0	0.0
74.28564	47.86440	1.30633E+3	1.67267E+2	1.13906E+3	9.76762E+1	0.0	0.0	6.33777E+1	5.13649E+0	0.0	0.0	0.0	0.0
76.42847	49.89960	1.37545E+3	1.61899E+2	1.21355E+3	6.15845E+1	0.43615E+0	0.0	9.59532E+1	1.83183E+0	0.0	0.0	0.0	0.0
78.57141	51.93490	1.43980E+3	1.52124E+2	1.28767E+3	3.80768E+1	3.46983E+0	0.0	1.07747E+2	0.54786E+0	0.0	0.0	0.0	0.0
80.71424	53.97010	1.50035E+3	1.51101E+2	1.34925E+3	1.86498E+1	1.17037E+1	0.0	1.17132E+2	0.19030E+0	0.0	0.0	0.0	0.0
82.85707	56.00530	1.55680E+3	1.48591E+2	1.40821E+3	8.78710E+0	2.89283E+1	0.0	1.07815E+2	9.87315E-2	0.0	0.0	0.0	0.0
84.99990	58.04050	1.60935E+3	1.44115E+2	1.46524E+3	6.12387E+0	4.95013E+1	0.0	8.43053E+1	0.10206E+0	0.0	0.0	0.0	0.0
87.14273	60.07570	1.65970E+3	1.44519E+2	1.51518E+3	1.99989E+0	7.21014E+1	0.21051E+0	6.48387E+1	0.0	0.0	0.0	0.0	0.0
89.28556	62.11090	1.70723E+3	1.34906E+2	1.57232E+3	1.29926E+0	8.42353E+1	0.54135E+0	4.19011E+1	0.0	0.0	0.0	0.0	0.0
91.42839	64.14610	1.75079E+3	1.32908E+2	1.61788E+3	0.55517E+0	9.38241E+1	3.99724E+0	2.83138E+1	0.0	0.0	0.0	0.0	0.0
93.57133	66.18140	1.79117E+3	1.31089E+2	1.66008E+3	0.34078E+0	9.67831E+1	9.20121E+0	1.69257E+1	0.0	0.0	0.0	0.0	0.0
95.71416	68.21660	1.82939E+3	1.24605E+2	1.70479E+3	0.11601E+0	8.74785E+1	2.00713E+1	8.93348E+0	0.0	0.0	0.0	0.0	0.0
97.85699	70.25180	1.86574E+3	1.20454E+2	1.74528E+3	0.11832E+0	7.77391E+1	2.81612E+1	4.96962E+0	0.0	0.0	0.0	0.0	0.0
99.99982	72.28700	1.90011E+3	1.18817E+2	1.78130E+3	0.0	6.04932E+1	4.19355E+1	3.85614E+0	0.0	0.24100E+0	0.0	0.0	0.0
102.14265	74.32220	1.93248E+3	1.10302E+2	1.82218E+3	0.0	4.30176E+1	5.34350E+1	1.47069E+0	0.12255E+0	1.83836E+0	0.0	0.0	0.0
104.28548	76.35740	1.96291E+3	1.11665E+2	1.85124E+3	0.0	3.47318E+1	5.83843E+1	1.61833E+0	0.0	4.60601E+0	0.0	0.0	0.0
106.42874	78.39300	1.99154E+3	1.09378E+2	1.88216E+3	0.0	2.42501E+1	6.28987E+1	0.37890E+0	0.0	7.83077E+0	0.0	0.0	0.0
108.57136	80.42800	2.01880E+3	1.10107E+2	1.90870E+3	0.0	1.77964E+1	6.20954E+1	0.25606E+0	0.0	1.42115E+1	0.0	0.0	0.0
110.71398	82.46300	2.04552E+3	1.11435E+2	1.93408E+3	0.0	1.10267E+1	5.82469E+1	0.25945E+0	0.0	2.51668E+1	0.0	0.0	0.0
112.85660	84.49800	2.07258E+3	1.13040E+2	1.95954E+3	0.0	8.01796E+0	5.15252E+1	0.0	0.0	3.37806E+1	0.52576E+0	0.0	0.0
115.00027	86.53400	2.10002E+3	1.02950E+2	1.99707E+3	0.0	4.39501E+0	4.02210E+1	0.0	0.0	3.98215E+1	0.79909E+0	0.0	0.0
117.14289	88.56900	2.12615E+3	9.96463E+1	2.02650E+3	0.0	2.42711E+0	3.29008E+1	0.0	0.0	4.04518E+1	2.69679E+0	0.0	0.0
119.28551	90.60400	2.14745E+3	1.02006E+2	2.04544E+3	0.0	1.22571E+0	2.73742E+1	0.0	0.0	4.84837E+1	5.58380E+0	0.0	0.0
121.42813	92.63900	2.16307E+3	9.83586E+1	2.06471E+3	0.0	1.09745E+0	1.53642E+1	0.0	0.0	4.96594E+1	6.58468E+0	0.0	0.0
123.57075	94.67400	2.17564E+3	1.00034E+2	2.07560E+3	0.0	0.55191E+0	1.47637E+1	0.0	0.0	4.91202E+1	1.04863E+1	0.13797E+0	0.0
125.71442	96.71000	2.19573E+3	9.84511E+1	2.09727E+3	0.0	0.55700E+0	9.32988E+0	0.0	0.0	4.73457E+1	1.58747E+1	0.41775E+0	0.0
127.85704	98.74500	2.22025E+3	1.01381E+2	2.11887E+3	0.0	0.42242E+0	7.60359E+0	0.0	0.0	3.95668E+1	1.99946E+1	0.56322E+0	0.0
129.99966	100.78000	2.23715E+3	9.63360E+1	2.14082E+3	0.0	0.28375E+0	4.68202E+0	0.0	0.0	3.66048E+1	2.32682E+1	1.70255E+0	0.0
