Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 13320 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	4n	5n	7n	6n	3n	8n	9n	10n	2n	
69.99997	35.81900	5.81309E+2	1.82204E+2	3.99104E+2	1.64093E+2	4.66967E+0	0.0	0.0	1.27870E+1	0.0	0.0	0.0	4.36418E-2
72.14287	37.84340	6.80228E+2	1.77002E+2	5.03225E+2	1.46157E+2	2.48191E+1	0.0	0.0	5.00468E+0	0.0	0.0	0.0	0.0
74.28566	39.86770	7.72603E+2	1.62525E+2	6.10078E+2	1.04986E+2	5.46970E+1	0.0	0.0	1.50808E+0	0.0	0.0	0.0	0.0
76.42856	41.89210	8.59001E+2	1.50648E+2	7.08354E+2	6.19100E+1	8.68675E+1	0.0	0.0	0.64489E+0	0.0	0.0	0.0	0.0
78.57136	43.91640	9.39928E+2	1.39225E+2	8.00703E+2	3.35890E+1	1.03378E+2	0.0	0.0	0.14113E+0	0.0	0.0	0.0	0.0
80.71426	45.94080	1.01583E+3	1.34758E+2	8.81073E+2	1.86846E+1	1.12870E+2	0.0	1.37274E+0	0.0	0.0	0.0	0.0	0.0
82.85706	47.96510	1.08712E+3	1.21118E+2	9.66001E+2	7.75348E+0	1.04713E+2	0.0	6.20278E+0	8.16155E-2	0.0	0.0	0.0	0.0
84.99996	49.98950	1.15418E+3	1.23390E+2	1.03079E+3	3.63930E+0	9.61816E+1	0.0	2.03628E+1	0.0	0.0	0.0	0.0	0.0
87.14286	52.01390	1.21723E+3	1.19530E+2	1.09770E+3	1.46214E+0	7.62141E+1	0.0	3.82898E+1	0.0	0.0	0.0	0.0	0.0
89.28566	54.03820	1.27681E+3	1.08798E+2	1.16802E+3	0.57514E+0	5.08042E+1	0.0	5.34882E+1	0.0	0.0	0.0	0.0	0.0
91.42856	56.06260	1.33274E+3	1.01456E+2	1.23128E+3	0.30016E+0	3.16176E+1	0.90050E+0	6.50361E+1	0.0	0.0	0.0	0.0	0.0
93.57135	58.08690	1.38597E+3	1.06445E+2	1.27953E+3	0.0	1.96658E+1	2.91346E+0	7.90795E+1	0.0	0.0	0.0	0.0	0.0
95.71425	60.11130	1.43604E+3	9.73529E+1	1.33868E+3	0.53905E+0	8.51703E+0	9.59514E+0	7.28799E+1	0.0	0.0	0.0	0.0	0.0
97.85705	62.13560	1.48285E+3	1.00749E+2	1.38210E+3	0.0	5.67757E+0	2.08178E+1	6.85761E+1	0.0	0.0	0.0	0.0	0.0
99.99995	64.16000	1.52821E+3	9.28167E+1	1.43539E+3	0.0	2.63879E+0	3.01740E+1	5.10549E+1	0.0	0.0	0.0	0.0	0.0
102.14285	66.18440	1.57158E+3	8.76637E+1	1.48391E+3	0.0	1.41583E+0	3.78736E+1	3.81095E+1	0.0	0.11798E+0	0.0	0.0	0.0
104.28565	68.20870	1.61165E+3	8.68741E+1	1.52478E+3	0.0	0.72596E+0	4.48890E+1	2.94017E+1	0.0	0.84696E+0	0.0	0.0	0.0
106.42844	70.23300	1.64879E+3	8.38013E+1	1.56499E+3	0.0	0.49513E+0	5.33506E+1	1.80724E+1	0.0	2.22810E+0	0.0	0.0	0.0
108.57092	72.25700	1.68410E+3	9.02736E+1	1.59382E+3	0.0	0.12643E+0	5.90445E+1	1.39077E+1	0.0	7.20672E+0	0.0	0.0	0.0
110.71446	74.28200	1.71813E+3	8.19081E+1	1.63623E+3	0.0	0.25797E+0	4.83709E+1	7.61036E+0	0.0	1.22540E+1	0.0	0.0	0.0
112.85694	76.30600	1.75083E+3	7.91290E+1	1.67170E+3	0.0	0.13144E+0	4.44279E+1	6.44074E+0	0.0	1.62990E+1	0.0	0.0	0.0
115.00047	78.33100	1.78198E+3	7.13059E+1	1.71067E+3	0.0	0.0	3.53185E+1	2.54186E+0	0.0	1.99335E+1	0.26756E+0	0.0	0.0
117.14295	80.35500	1.81145E+3	7.33012E+1	1.73815E+3	0.0	0.0	2.86949E+1	1.63194E+0	0.0	2.71990E+1	0.95196E+0	0.0	0.0
119.28543	82.37900	1.83925E+3	7.26309E+1	1.76661E+3	0.0	0.0	2.11265E+1	1.10465E+0	0.0	3.09303E+1	1.65698E+0	0.0	0.0
121.42897	84.40400	1.86557E+3	6.98889E+1	1.79568E+3	0.0	0.0	1.69470E+1	0.42017E+0	0.0	2.84318E+1	4.76197E+0	0.0	0.0
123.57144	86.42800	1.89095E+3	6.94201E+1	1.82153E+3	0.0	0.0	1.23508E+1	0.14196E+0	0.0	2.91025E+1	8.09191E+0	0.0	0.0
125.71392	88.45200	1.91616E+3	6.91946E+1	1.84696E+3	0.0	0.0	7.04893E+0	0.57542E+0	0.0	2.70449E+1	1.42417E+1	0.14385E+0	0.0
127.85746	90.47700	1.94171E+3	6.79306E+1	1.87378E+3	0.0	0.0	5.24786E+0	0.0	0.0	2.60935E+1	1.38485E+1	0.43732E+0	0.0
129.99994	92.50100	1.96708E+3	6.82277E+1	1.89886E+3	0.0	0.0	3.98733E+0	0.0	0.0	2.30379E+1	1.71308E+1	0.88607E+0	0.0
