Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 255702 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	4n	3n	5n	8n	6n	7n	9n	10n	2n	
70.00004	36.53300	6.90736E+1	3.38615E+1	3.52122E+1	3.04276E+1	3.15408E+0	7.37464E-2	0.0	0.0	0.0	0.0	0.0	1.08053E-3
72.14293	38.53700	1.44891E+2	6.97972E+1	7.50942E+1	6.46090E+1	2.54252E+0	2.13341E+0	0.0	0.0	0.0	0.0	0.0	1.13328E-3
74.28571	40.54090	2.50398E+2	1.04300E+2	1.46098E+2	8.87921E+1	1.54331E+0	1.28527E+1	0.0	0.0	0.0	0.0	0.0	9.79256E-4
76.42861	42.54490	3.54746E+2	1.13150E+2	2.41596E+2	7.71334E+1	0.73945E+0	3.36000E+1	0.0	0.0	0.0	0.0	0.0	0.0
78.57150	44.54890	4.53024E+2	1.08147E+2	3.44876E+2	5.08191E+1	0.26575E+0	5.49914E+1	0.0	5.31506E-3	0.0	0.0	0.0	0.0
80.71428	46.55280	5.45385E+2	1.03121E+2	4.42264E+2	2.95598E+1	7.03855E-2	7.08568E+1	0.0	0.24315E+0	0.0	0.0	0.0	0.0
82.85717	48.55680	6.32281E+2	9.86742E+1	5.33607E+2	1.57043E+1	3.46182E-2	7.80368E+1	0.0	2.13149E+0	0.0	0.0	0.0	0.0
85.00006	50.56080	7.14137E+2	9.44653E+1	6.19672E+2	8.02944E+0	1.67571E-2	7.50355E+1	0.0	8.20818E+0	0.0	0.0	0.0	0.0
87.14285	52.56470	7.91336E+2	9.03175E+1	7.01019E+2	3.97058E+0	3.09476E-3	6.37954E+1	0.0	1.88966E+1	0.0	0.0	0.0	0.0
89.28574	54.56870	8.64226E+2	8.53403E+1	7.78885E+2	1.88932E+0	3.37982E-3	4.87031E+1	0.0	3.05873E+1	3.37982E-3	0.0	0.0	0.0
91.42852	56.57260	9.33118E+2	8.19036E+1	8.51215E+2	0.82837E+0	0.0	3.38905E+1	0.0	4.23020E+1	8.02833E-2	0.0	0.0	0.0
93.57141	58.57660	9.98301E+2	7.90631E+1	9.19238E+2	0.47630E+0	0.0	2.23162E+1	0.0	5.05432E+1	0.44897E+0	0.0	0.0	0.0
95.71430	60.58060	1.06005E+3	7.49199E+1	9.85128E+2	0.24044E+0	0.0	1.35728E+1	0.0	5.32051E+1	1.84896E+0	0.0	0.0	0.0
97.85709	62.58450	1.11857E+3	7.16282E+1	1.04694E+3	7.43666E-2	0.0	8.21095E+0	0.0	5.14092E+1	5.29753E+0	0.0	0.0	0.0
99.99998	64.58850	1.17403E+3	6.85862E+1	1.10544E+3	7.80536E-2	0.0	4.63730E+0	4.59139E-3	4.61710E+1	1.04041E+1	0.0	0.0	0.0
102.14287	66.59250	1.22688E+3	6.54557E+1	1.16143E+3	1.43943E-2	0.0	2.52380E+0	2.87886E-2	3.87207E+1	1.63951E+1	0.0	0.0	0.0
104.28566	68.59640	1.27675E+3	6.36772E+1	1.21307E+3	1.49793E-2	0.0	1.49294E+0	0.25464E+0	3.03132E+1	2.25439E+1	0.0	0.0	0.0
106.42855	70.60040	1.32471E+3	6.18677E+1	1.26284E+3	0.0	0.0	0.96878E+0	0.85481E+0	2.27069E+1	2.78617E+1	0.0	0.0	0.0
108.57101	72.60400	1.36979E+3	5.97572E+1	1.31004E+3	5.35700E-3	0.0	0.40713E+0	2.11601E+0	1.55353E+1	3.07009E+1	0.0	0.0	0.0
110.71390	74.60800	1.41278E+3	5.95553E+1	1.35323E+3	0.0	0.0	0.31493E+0	4.88420E+0	1.14536E+1	3.13827E+1	5.52512E-3	0.0	0.0
112.85679	76.61200	1.45467E+3	5.73499E+1	1.39732E+3	0.0	0.0	0.11377E+0	8.26029E+0	7.11114E+0	2.88769E+1	0.0	0.0	0.0
114.99968	78.61600	1.49364E+3	5.74960E+1	1.43614E+3	0.0	0.0	5.25719E-2	1.21733E+1	5.03522E+0	2.63735E+1	4.08892E-2	0.0	0.0
117.14257	80.62000	1.53031E+3	5.54188E+1	1.47489E+3	0.0	0.0	4.78780E-2	1.55304E+1	3.10010E+0	2.19760E+1	0.10174E+0	0.0	0.0
119.28547	82.62400	1.56592E+3	5.38605E+1	1.51205E+3	0.0	0.0	0.0	1.86843E+1	1.78208E+0	1.72390E+1	0.41030E+0	0.0	0.0
121.42836	84.62800	1.60053E+3	5.30292E+1	1.54750E+3	0.0	0.0	6.25935E-3	2.11065E+1	1.04531E+0	1.30320E+1	0.90134E+0	0.0	0.0
123.57125	86.63200	1.63394E+3	5.10117E+1	1.58293E+3	0.0	0.0	6.39004E-3	2.14258E+1	0.64539E+0	9.61061E+0	1.96813E+0	0.0	0.0
125.71414	88.63600	1.66609E+3	5.13245E+1	1.61476E+3	0.0	0.0	1.30315E-2	2.17626E+1	0.48216E+0	6.71773E+0	3.40122E+0	6.51574E-3	0.0
127.85703	90.64000	1.69667E+3	5.06475E+1	1.64602E+3	0.0	0.0	0.0	2.08482E+1	0.29195E+0	5.12248E+0	5.28836E+0	2.65413E-2	0.0
129.99992	92.64400	1.72545E+3	5.06699E+1	1.67478E+3	0.0	0.0	0.0	1.87659E+1	0.12146E+0	3.54939E+0	7.55088E+0	8.09746E-2	0.0
