Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 134588 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	7n	8n	6n	2n	9n	
69.99973	33.16900	6.42656E-2	4.97220E-2	1.45436E-2	4.66569E-2	1.31455E-3	0.0	0.0	0.0	0.0	1.40862E-3	0.0
72.14255	35.14160	1.17412E+0	0.83206E+0	0.34206E+0	0.67613E+0	0.14025E+0	0.0	0.0	0.0	0.0	8.49701E-3	0.0
74.28548	37.11430	7.17876E+0	4.04793E+0	3.13083E+0	2.42206E+0	1.56432E+0	0.0	0.0	0.0	0.0	1.61083E-2	0.0
76.42831	39.08690	2.06030E+1	8.63014E+0	1.19728E+1	3.23508E+0	5.26234E+0	0.0	0.0	0.0	0.0	1.28589E-2	0.0
78.57124	41.05960	4.28748E+1	1.41471E+1	2.87277E+1	2.94098E+0	1.09602E+1	3.18563E-3	0.0	0.0	0.0	4.45989E-3	0.0
80.71406	43.03220	8.22190E+1	2.54432E+1	5.67759E+1	2.49428E+0	2.22213E+1	0.18998E+0	0.0	0.0	0.0	1.83268E-3	0.0
82.85700	45.00490	1.59866E+2	5.01210E+1	1.09745E+2	2.32812E+0	4.38541E+1	2.55618E+0	0.0	0.0	0.0	3.56345E-3	0.0
84.99982	46.97750	2.54889E+2	6.14723E+1	1.93416E+2	1.36736E+0	4.84938E+1	9.43702E+0	0.0	0.0	0.0	1.89384E-3	0.0
87.14265	48.95010	3.47002E+2	5.92870E+1	2.87715E+2	0.63940E+0	3.73744E+1	1.84732E+1	0.0	0.0	0.0	0.0	0.0
89.28558	50.92280	4.34229E+2	5.60935E+1	3.78136E+2	0.20003E+0	2.50785E+1	2.78015E+1	0.0	0.0	1.29054E-2	0.0	0.0
91.42840	52.89540	5.16793E+2	5.24863E+1	4.64306E+2	0.11519E+0	1.53784E+1	3.32681E+1	0.0	0.0	0.29566E+0	0.0	0.0
93.57134	54.86810	5.95015E+2	5.06515E+1	5.44363E+2	5.30521E-2	9.03212E+0	3.61594E+1	0.0	0.0	1.56504E+0	0.0	0.0
95.71416	56.84070	6.69196E+2	4.79269E+1	6.21269E+2	1.49166E-2	4.92246E+0	3.41987E+1	0.0	0.0	4.74844E+0	0.0	0.0
97.85709	58.81340	7.39612E+2	4.50676E+1	6.94545E+2	0.0	2.80264E+0	2.80429E+1	0.0	0.0	9.58394E+0	0.0	0.0
99.99992	60.78600	8.06512E+2	4.25943E+1	7.63918E+2	0.0	1.36029E+0	2.17166E+1	0.0	0.0	1.43879E+1	0.0	0.0
102.14274	62.75860	8.70126E+2	4.04199E+1	8.29706E+2	0.0	0.64004E+0	1.51219E+1	3.87906E-2	0.0	1.86777E+1	0.0	0.0
104.28568	64.73130	9.30663E+2	3.91245E+1	8.91538E+2	0.0	0.43563E+0	1.00750E+1	0.16595E+0	0.0	2.18857E+1	0.0	0.0
106.42850	66.70390	9.88319E+2	3.88827E+1	9.49436E+2	0.0	0.16155E+0	7.01285E+0	0.96931E+0	0.0	2.34324E+1	0.0	0.0
108.57143	68.67660	1.04329E+3	3.68904E+1	1.00640E+3	0.0	6.97654E-2	4.15492E+0	2.20924E+0	0.0	2.26660E+1	0.0	0.0
110.71404	70.64900	1.09573E+3	3.58951E+1	1.05983E+3	0.0	8.14135E-2	2.61337E+0	4.06253E+0	0.0	2.06057E+1	0.0	0.0
112.85730	72.62200	1.14569E+3	3.42970E+1	1.11139E+3	0.0	4.25627E-2	1.53226E+0	6.50358E+0	8.51254E-3	1.66420E+1	0.0	0.0
115.00056	74.59500	1.19350E+3	3.52673E+1	1.15823E+3	0.0	8.86782E-3	1.01980E+0	9.36442E+0	3.54713E-2	1.42151E+1	0.0	0.0
117.14273	76.56700	1.23921E+3	3.27877E+1	1.20642E+3	0.0	0.0	0.45116E+0	1.07635E+1	0.19335E+0	1.07543E+1	0.0	0.0
119.28599	78.54000	1.28274E+3	3.29674E+1	1.24978E+3	0.0	0.0	0.29545E+0	1.30097E+1	0.49560E+0	8.19656E+0	0.0	0.0
121.42816	80.51200	1.32466E+3	3.30014E+1	1.29166E+3	0.0	0.0	0.10826E+0	1.30903E+1	1.19092E+0	5.94478E+0	0.0	0.0
123.57142	82.48500	1.36463E+3	3.22836E+1	1.33235E+3	0.0	0.0	9.12538E-2	1.33332E+1	2.03800E+0	3.93405E+0	0.0	0.0
125.71468	84.45800	1.40264E+3	3.22553E+1	1.37039E+3	0.0	0.0	2.08435E-2	1.22039E+1	3.33496E+0	2.69923E+0	0.0	0.0
127.85685	86.43000	1.43994E+3	3.16258E+1	1.40831E+3	0.0	0.0	2.13978E-2	1.10733E+1	4.33304E+0	1.85091E+0	0.0	0.0
130.00011	88.40300	1.47470E+3	3.04937E+1	1.44421E+3	0.0	0.0	0.0	8.89720E+0	5.47857E+0	1.08476E+0	0.0	4.38286E-2
