Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 970889 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	8n	4n	2n	6n	7n	
70.00051	30.70000	5.85393E-2	4.89965E-2	9.54276E-3	4.76040E-2	0.0	0.0	2.37380E-4	1.01385E-3	0.0	0.0
72.22265	32.73610	1.24332E+0	0.94702E+0	0.29630E+0	0.86862E+0	0.0	0.0	6.85094E-2	6.08412E-3	0.0	0.0
74.44490	34.77230	7.91591E+0	4.70715E+0	3.20876E+0	3.47982E+0	0.0	0.0	1.18792E+0	1.12189E-2	0.0	0.0
76.66704	36.80840	2.28118E+1	1.00979E+1	1.27138E+1	4.82842E+0	0.0	0.0	5.18018E+0	7.28368E-3	0.0	0.0
78.88928	38.84460	4.77418E+1	1.71200E+1	3.06218E+1	4.35882E+0	1.13099E-3	0.0	1.25901E+1	3.83551E-3	0.0	0.0
81.11142	40.88070	9.50395E+1	3.37492E+1	6.12904E+1	3.85820E+0	0.29278E+0	0.0	2.91706E+1	1.95778E-3	0.0	0.0
83.33367	42.91690	1.84392E+2	6.45269E+1	1.19865E+2	3.30519E+0	4.35887E+0	0.0	5.58458E+1	7.59683E-4	0.0	0.0
85.55581	44.95300	2.84171E+2	7.46870E+1	2.09484E+2	1.72512E+0	1.52188E+1	0.0	5.61605E+1	5.85383E-4	0.0	0.0
87.77806	46.98920	3.79374E+2	7.14765E+1	3.07897E+2	0.74359E+0	2.81835E+1	0.0	4.05644E+1	0.0	0.0	0.0
90.00020	49.02530	4.69282E+2	6.69772E+1	4.02304E+2	0.28904E+0	3.93850E+1	0.0	2.51319E+1	0.0	5.80023E-3	0.0
92.22245	51.06150	5.54238E+2	6.25299E+1	4.91708E+2	0.11645E+0	4.54687E+1	0.0	1.42497E+1	0.0	0.18153E+0	0.0
94.44459	53.09760	6.34600E+2	5.89925E+1	5.75607E+2	4.83684E-2	4.71880E+1	0.0	7.65594E+0	0.0	1.24189E+0	0.0
96.66684	55.13380	7.10695E+2	5.56184E+1	6.55076E+2	2.26921E-2	4.41596E+1	0.0	3.78959E+0	0.0	4.38397E+0	0.0
98.88898	57.16990	7.82820E+2	5.26412E+1	7.30179E+2	7.25663E-3	3.73241E+1	0.0	1.87140E+0	0.0	9.73759E+0	0.0
101.11123	59.20610	8.51249E+2	4.98542E+1	8.01395E+2	0.0	2.83978E+1	0.0	0.96795E+0	0.0	1.63089E+1	1.13980E-2
103.33337	61.24220	9.16230E+2	4.75466E+1	8.68683E+2	9.43702E-4	2.02802E+1	0.0	0.48978E+0	0.0	2.20015E+1	0.14249E+0
105.55561	63.27840	9.77988E+2	4.57793E+1	9.32209E+2	1.00731E-3	1.34899E+1	0.0	0.24779E+0	0.0	2.59554E+1	0.72325E+0
107.77775	65.31450	1.03673E+3	4.44010E+1	9.92332E+2	1.06782E-3	8.69738E+0	0.0	8.86289E-2	0.0	2.74814E+1	2.31610E+0
110.00033	67.35100	1.09266E+3	4.28661E+1	1.04979E+3	1.12542E-3	5.16567E+0	0.0	4.38913E-2	0.0	2.61266E+1	5.09251E+0
112.22236	69.38700	1.14590E+3	4.11496E+1	1.10475E+3	0.0	3.05686E+0	0.0	2.00643E-2	0.0	2.23859E+1	8.74333E+0
114.44439	71.42300	1.19661E+3	3.99757E+1	1.15663E+3	0.0	1.89927E+0	1.47899E-2	6.16245E-3	0.0	1.82248E+1	1.21671E+1
116.66642	73.45900	1.24514E+3	3.93143E+1	1.20582E+3	0.0	1.04650E+0	0.11414E+0	3.84742E-3	0.0	1.38905E+1	1.60425E+1
118.88845	75.49500	1.29139E+3	3.75158E+1	1.25387E+3	0.0	0.64643E+0	0.42430E+0	1.33011E-3	0.0	9.80292E+0	1.77131E+1
121.11048	77.53100	1.33541E+3	3.67850E+1	1.29862E+3	0.0	0.34386E+0	1.13199E+0	2.75090E-3	0.0	6.78784E+0	1.87322E+1
123.33360	79.56800	1.37781E+3	3.59919E+1	1.34182E+3	0.0	0.16461E+0	2.37703E+0	2.83825E-3	0.0	4.46314E+0	1.84671E+1
125.55563	81.60400	1.41801E+3	3.54573E+1	1.38255E+3	0.0	8.90922E-2	4.06319E+0	0.0	0.0	3.02037E+0	1.69597E+1
127.77766	83.64000	1.45664E+3	3.49243E+1	1.42172E+3	0.0	4.65098E-2	6.08078E+0	0.0	0.0	1.93841E+0	1.48411E+1
129.99970	85.67600	1.49381E+3	3.38969E+1	1.45991E+3	0.0	2.30790E-2	7.90995E+0	0.0	0.0	1.10779E+0	1.20857E+1
