Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 32553 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	6n	7n	2n	8n	
69.99995	29.42500	1.25675E-8	1.02310E-8	2.33645E-9	8.32967E-9	0.0	0.0	0.0	0.0	1.85850E-9	0.0
72.22215	31.44990	8.72411E-7	6.96417E-7	1.75994E-7	6.43675E-7	3.75196E-10	0.0	0.0	0.0	4.93383E-8	0.0
74.44445	33.47490	4.71838E-5	3.63652E-5	1.08187E-5	3.37040E-5	1.50308E-6	0.0	0.0	0.0	9.18949E-7	0.0
76.66665	35.49980	1.90839E-3	1.40469E-3	5.03699E-4	1.08044E-3	3.01856E-4	0.0	0.0	0.0	1.09041E-5	0.0
78.88885	37.52470	6.23443E-2	4.30682E-2	1.92761E-2	2.23059E-2	2.01456E-2	0.0	0.0	0.0	1.09164E-4	0.0
81.11105	39.54960	1.15736E+0	0.70950E+0	0.44786E+0	0.21378E+0	0.48590E+0	0.0	0.0	0.0	4.97745E-4	0.0
83.33336	41.57460	6.72349E+0	3.10409E+0	3.61940E+0	0.51614E+0	2.52185E+0	2.89156E-3	0.0	0.0	6.19619E-4	0.0
85.55555	43.59950	1.86958E+1	6.21757E+0	1.24782E+1	0.53871E+0	5.44339E+0	7.81074E-2	0.0	0.0	0.0	0.0
87.77775	45.62440	3.78354E+1	9.66543E+0	2.81699E+1	0.36727E+0	8.31836E+0	0.66946E+0	0.0	0.0	1.16227E-3	0.0
89.99995	47.64930	6.87819E+1	1.58533E+1	5.29287E+1	0.30426E+0	1.14943E+1	3.36800E+0	0.0	0.0	0.0	0.0
92.22226	49.67430	1.31401E+2	3.24173E+1	9.89836E+1	0.26641E+0	1.75952E+1	1.31389E+1	0.0	0.0	0.0	0.0
94.44446	51.69920	2.18824E+2	4.50581E+1	1.73766E+2	8.73871E-2	1.70203E+1	2.53355E+1	5.37767E-2	0.0	0.0	0.0
96.66665	53.72410	3.05793E+2	4.52775E+1	2.60515E+2	3.75747E-2	1.05585E+1	3.07643E+1	0.55422E+0	0.0	0.0	0.0
98.88885	55.74900	3.88544E+2	4.19302E+1	3.46614E+2	2.38715E-2	5.96786E+0	2.97438E+1	2.19617E+0	0.0	0.0	0.0
101.11116	57.77400	4.67142E+2	4.00370E+1	4.27105E+2	0.0	3.48710E+0	2.67057E+1	5.76878E+0	0.0	0.0	0.0
103.33336	59.79890	5.41853E+2	3.79013E+1	5.03952E+2	0.0	1.41485E+0	2.23879E+1	1.01370E+1	0.0	0.0	0.0
105.55555	61.82380	6.12929E+2	3.59627E+1	5.76966E+2	1.88286E-2	0.73431E+0	1.47052E+1	1.54018E+1	0.0	0.0	0.0
107.77775	63.84870	6.80603E+2	3.52292E+1	6.45374E+2	2.09075E-2	0.54359E+0	1.09765E+1	1.85868E+1	4.18151E-2	0.0	0.0
110.00039	65.87400	7.45089E+2	3.21584E+1	7.12931E+2	0.0	0.18310E+0	6.82077E+0	1.89517E+1	0.32043E+0	0.0	0.0
112.22270	67.89900	8.06585E+2	3.24338E+1	7.74151E+2	0.0	9.91104E-2	4.36086E+0	2.00698E+1	1.46188E+0	0.0	0.0
114.44501	69.92400	8.65272E+2	3.01688E+1	8.35103E+2	0.0	5.31608E-2	2.65804E+0	1.80747E+1	2.52514E+0	0.0	0.0
116.66622	71.94800	9.21317E+2	3.11606E+1	8.90156E+2	0.0	5.66041E-2	1.30189E+0	1.72643E+1	4.66984E+0	0.0	0.0
118.88852	73.97300	9.74875E+2	3.03067E+1	9.44568E+2	0.0	2.99473E-2	0.74868E+0	1.34763E+1	7.66651E+0	0.0	0.0
121.11083	75.99800	1.02608E+3	2.90618E+1	9.97020E+2	0.0	0.0	0.53584E+0	1.02126E+1	9.14090E+0	0.0	9.45611E-2
123.33314	78.02300	1.07506E+3	2.84345E+1	1.04663E+3	0.0	0.0	0.16512E+0	7.10037E+0	1.07661E+1	0.0	0.26420E+0
125.55545	80.04800	1.12197E+3	2.84000E+1	1.09357E+3	0.0	0.0	0.13786E+0	5.13543E+0	1.17874E+1	0.0	0.96504E+0
127.77775	82.07300	1.16696E+3	2.82841E+1	1.13868E+3	0.0	3.58481E-2	7.16963E-2	3.83575E+0	1.17940E+1	0.0	1.36223E+0
130.00006	84.09800	1.20997E+3	2.52750E+1	1.18469E+3	0.0	0.0	3.71691E-2	2.45316E+0	9.51529E+0	0.0	2.67618E+0
