Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 1121203 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	5n	3n	4n	1n	6n	7n	8n	
69.99975	24.81700	1.51682E-16	1.40549E-16	1.11332E-17	1.37434E-16	0.0	2.70570E-22	0.0	2.80920E-18	0.0	0.0	0.0
72.22201	26.83060	2.93064E-14	2.63510E-14	2.95536E-15	2.45275E-14	0.0	1.60706E-15	0.0	1.29045E-16	0.0	0.0	0.0
74.44416	28.84410	4.13222E-12	3.54170E-12	5.90524E-13	2.30867E-12	0.0	1.21266E-12	0.0	3.79240E-15	0.0	0.0	0.0
76.66643	30.85770	4.15482E-10	3.37230E-10	7.82522E-11	1.16653E-10	0.0	2.18519E-10	0.0	9.07892E-14	0.0	0.0	0.0
78.88858	32.87120	3.03965E-8	2.33644E-8	7.03205E-9	3.53232E-9	0.0	1.96567E-8	0.0	1.57241E-12	0.0	0.0	0.0
81.11084	34.88480	1.69780E-6	1.22925E-6	4.68554E-7	7.15506E-8	0.0	1.14501E-6	9.97902E-10	2.27140E-11	0.0	0.0	0.0
83.33299	36.89830	7.60431E-5	5.15958E-5	2.44473E-5	1.08951E-6	0.0	4.83897E-5	1.47406E-6	2.03468E-10	0.0	0.0	0.0
85.55526	38.91190	2.71086E-3	1.70102E-3	1.00984E-3	1.26645E-5	0.0	1.39106E-3	2.69801E-4	0.0	0.0	0.0	0.0
87.77741	40.92540	7.64103E-2	4.43548E-2	3.20555E-2	1.10744E-4	0.0	2.63597E-2	1.69862E-2	0.0	0.0	0.0	0.0
89.99967	42.93900	1.20419E+0	0.59886E+0	0.60532E+0	5.10157E-4	3.22205E-6	0.22563E+0	0.35785E+0	0.0	0.0	0.0	0.0
92.22194	44.95260	6.19880E+0	2.21071E+0	3.98809E+0	7.68490E-4	4.06913E-3	0.48195E+0	1.65334E+0	0.0	0.0	0.0	0.0
94.44409	46.96610	1.63546E+1	4.14496E+0	1.22097E+1	5.10533E-4	0.11421E+0	0.47737E+0	3.38373E+0	0.0	0.0	0.0	0.0
96.66635	48.97970	3.21300E+1	6.21600E+0	2.59140E+1	3.72538E-4	0.72527E+0	0.35620E+0	4.82130E+0	0.0	0.0	0.0	0.0
98.88851	50.99320	5.53651E+1	9.20267E+0	4.61624E+1	1.97520E-4	2.55122E+0	0.24882E+0	5.83238E+0	0.0	0.0	0.0	0.0
101.11077	53.00680	9.78672E+1	1.77610E+1	8.01063E+1	1.74575E-4	8.12422E+0	0.21621E+0	8.13932E+0	0.0	0.0	0.0	0.0
103.33292	55.02030	1.70805E+2	2.94862E+1	1.41319E+2	1.52341E-4	1.77996E+1	0.18357E+0	8.90343E+0	0.0	1.02069E-2	0.0	0.0
105.55518	57.03390	2.50183E+2	3.12343E+1	2.18948E+2	0.0	2.17570E+1	8.50154E-2	5.81452E+0	0.0	0.17851E+0	0.0	0.0
107.77734	59.04740	3.26606E+2	2.99739E+1	2.96632E+2	0.0	2.19186E+1	3.93255E-2	3.27508E+0	0.0	0.92662E+0	0.0	0.0
109.99960	61.06100	3.99531E+2	2.85846E+1	3.70946E+2	0.0	1.98874E+1	2.06678E-2	1.74679E+0	0.0	2.63978E+0	0.0	0.0
112.22231	63.07500	4.69131E+2	2.76628E+1	4.41468E+2	0.0	1.68605E+1	7.53151E-3	0.92386E+0	0.0	5.10762E+0	0.0	0.0
114.44391	65.08800	5.35604E+2	2.63640E+1	5.09240E+2	0.0	1.28631E+1	2.86623E-3	0.47101E+0	0.0	7.88929E+0	3.34393E-3	0.0
116.66661	67.10200	5.99134E+2	2.54722E+1	5.73662E+2	0.0	9.26219E+0	2.67184E-3	0.23672E+0	0.0	1.03010E+1	3.79401E-2	0.0
118.88821	69.11500	6.59894E+2	2.49438E+1	6.34951E+2	0.0	6.30936E+0	0.0	0.11653E+0	0.0	1.21626E+1	0.20952E+0	0.0
121.11092	71.12900	7.18043E+2	2.44743E+1	6.93569E+2	0.0	4.12368E+0	6.40422E-4	6.14805E-2	0.0	1.28513E+1	0.67500E+0	0.0
123.33252	73.14200	7.73726E+2	2.36692E+1	7.50057E+2	0.0	2.65476E+0	0.0	3.51944E-2	0.0	1.22290E+1	1.56373E+0	0.0
125.55522	75.15600	8.27081E+2	2.32780E+1	8.03803E+2	0.0	1.59780E+0	0.0	1.18028E-2	0.0	1.10599E+1	2.75226E+0	0.0
127.77682	77.16900	8.78234E+2	2.25707E+1	8.55663E+2	0.0	0.92037E+0	0.0	7.83296E-3	0.0	9.21939E+0	4.09742E+0	3.91648E-3
129.99953	79.18300	9.27302E+2	2.28335E+1	9.04469E+2	0.0	0.61864E+0	0.0	3.30824E-3	0.0	7.54361E+0	5.57852E+0	1.40600E-2
