Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 11254 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	5n	3n	4n	7n	6n	1n	
70.00042	16.06200	7.53454E-27	5.87151E-27	1.66303E-27	4.28747E-27	0.0	0.0	0.0	0.0	0.0	1.58136E-27
72.22264	18.04650	6.42093E-24	5.84868E-24	5.72258E-25	5.55884E-24	0.0	0.0	0.0	0.0	0.0	2.88697E-25
74.44487	20.03100	3.36045E-21	3.23175E-21	1.28697E-22	3.20040E-21	0.0	0.0	0.0	0.0	0.0	3.01587E-23
76.66698	22.01540	1.19175E-18	1.14717E-18	4.45822E-20	1.07707E-18	0.0	6.75616E-20	0.0	0.0	0.0	1.69434E-21
78.88921	23.99990	2.98196E-16	2.78243E-16	1.99521E-17	1.65287E-16	0.0	1.12665E-16	0.0	0.0	0.0	2.64969E-20
81.11144	25.98440	5.08300E-14	4.55772E-14	5.25282E-15	1.22536E-14	0.0	3.32604E-14	0.0	0.0	0.0	0.0
83.33366	27.96890	6.04802E-12	5.32090E-12	7.27116E-13	5.25587E-13	0.0	4.78134E-12	0.0	0.0	0.0	0.0
85.55589	29.95340	5.53812E-10	4.68186E-10	8.56258E-11	1.64362E-11	0.0	4.50175E-10	1.96841E-13	0.0	0.0	0.0
87.77812	31.93790	4.04253E-8	3.25982E-8	7.82715E-9	3.08919E-10	0.0	3.09997E-8	1.16024E-9	0.0	0.0	0.0
90.00023	33.92230	2.22573E-6	1.66960E-6	5.56135E-7	3.95544E-9	0.0	1.34525E-6	3.12084E-7	0.0	0.0	0.0
92.22246	35.90680	9.91932E-5	7.08472E-5	2.83459E-5	7.05123E-8	0.0	3.79004E-5	3.23563E-5	0.0	0.0	0.0
94.44468	37.89130	3.55773E-3	2.39722E-3	1.16051E-3	3.16130E-7	0.0	7.38164E-4	1.64135E-3	0.0	0.0	0.0
96.66691	39.87580	0.10038E+0	6.61576E-2	3.42250E-2	0.0	1.33796E-4	9.56194E-3	5.57750E-2	0.0	0.0	0.0
98.88914	41.86030	1.40084E+0	0.78992E+0	0.61092E+0	0.0	2.22810E-2	5.57648E-2	0.70129E+0	0.0	0.0	0.0
101.11125	43.84470	6.30359E+0	2.58160E+0	3.72200E+0	0.0	0.32094E+0	8.51383E-2	2.12678E+0	0.0	0.0	0.0
103.33348	45.82920	1.56479E+1	4.78170E+0	1.08662E+1	0.0	1.40017E+0	5.97886E-2	3.22163E+0	0.0	0.0	0.0
105.55571	47.81370	2.96995E+1	7.02507E+0	2.26745E+1	0.0	3.47295E+0	6.33365E-2	3.25127E+0	0.0	0.0	0.0
107.77793	49.79820	4.94180E+1	9.70006E+0	3.97180E+1	0.0	6.32326E+0	1.75646E-2	3.03429E+0	0.0	8.78231E-3	0.0
110.00016	51.78270	8.17832E+1	1.72083E+1	6.45749E+1	0.0	1.34149E+1	2.18011E-2	2.94315E+0	0.0	0.13080E+0	0.0
112.22216	53.76700	1.43061E+2	3.06614E+1	1.12400E+2	0.0	2.51317E+1	2.54241E-2	3.05089E+0	0.0	1.13137E+0	0.0
114.44495	55.75200	2.17091E+2	3.60725E+1	1.81018E+2	0.0	2.77392E+1	0.0	2.25694E+0	0.0	4.07021E+0	0.0
116.66661	57.73600	2.89463E+2	3.56234E+1	2.53839E+2	0.0	2.42548E+1	0.0	1.15744E+0	0.0	7.35617E+0	0.0
118.88940	59.72100	3.58815E+2	3.34776E+1	3.25338E+2	0.0	1.83648E+1	0.0	0.47825E+0	3.18834E-2	1.17650E+1	0.0
121.11107	61.70500	4.25239E+2	3.35158E+1	3.91723E+2	0.0	1.31872E+1	0.0	0.22671E+0	0.15114E+0	1.64745E+1	0.0
123.33385	63.69000	4.88894E+2	3.20166E+1	4.56877E+2	0.0	8.16706E+0	0.0	0.0	0.60818E+0	1.92447E+1	0.0
125.55552	65.67400	5.49932E+2	3.19091E+1	5.18023E+2	0.0	5.42407E+0	0.0	4.88655E-2	2.29668E+0	2.00837E+1	0.0
127.77831	67.65900	6.08495E+2	3.13602E+1	5.77135E+2	0.0	3.02788E+0	0.0	5.40692E-2	3.89298E+0	1.93568E+1	0.0
129.99997	69.64300	6.64715E+2	2.83511E+1	6.36364E+2	0.0	2.00820E+0	0.0	0.0	6.67432E+0	1.51206E+1	0.0
