Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 1512872 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	3n	4n	5n	6n	
69.99955	5.91500	4.67582E-41	4.67556E-41	0.0	0.0	0.0	0.0	0.0	0.0
72.30724	7.94100	8.87407E-37	8.87350E-37	0.0	0.0	0.0	0.0	0.0	0.0
74.61493	9.96700	5.07718E-33	5.07718E-33	0.0	0.0	0.0	0.0	0.0	0.0
76.92261	11.99300	1.26020E-29	1.23680E-29	2.33993E-31	0.0	0.0	0.0	0.0	0.0
79.23030	14.01900	1.80520E-26	1.79765E-26	7.55193E-29	0.0	0.0	0.0	0.0	0.0
81.53799	16.04500	1.53200E-23	1.52892E-23	3.08654E-26	0.0	0.0	0.0	0.0	0.0
83.84568	18.07100	8.56491E-21	7.89492E-21	6.69993E-22	1.04928E-21	0.0	0.0	0.0	0.0
86.15337	20.09700	2.97883E-18	2.57942E-18	3.99420E-19	1.51907E-18	0.0	0.0	0.0	0.0
88.46106	22.12300	6.94784E-16	6.27827E-16	6.69580E-17	5.43943E-16	0.0	0.0	0.0	0.0
90.76875	24.14900	1.21557E-13	1.09341E-13	1.22158E-14	1.05240E-13	0.0	0.0	0.0	0.0
93.07644	26.17500	1.53716E-11	1.33785E-11	1.99303E-12	1.30055E-11	2.21103E-13	0.0	0.0	0.0
95.38413	28.20100	1.53716E-9	1.26555E-9	2.71604E-10	9.77066E-10	2.80886E-10	0.0	0.0	0.0
97.69182	30.22700	1.10999E-7	8.56084E-8	2.53906E-8	3.83748E-8	4.67302E-8	0.0	0.0	0.0
99.99951	32.25300	6.48855E-6	4.69535E-6	1.79320E-6	9.74351E-7	3.68818E-6	0.0	0.0	0.0
102.30720	34.27900	3.10275E-4	2.10235E-4	1.00040E-4	1.74663E-5	1.90933E-4	2.89177E-8	0.0	0.0
104.61489	36.30500	1.20140E-2	7.57460E-3	4.43943E-3	2.30748E-4	7.16642E-3	8.98547E-5	0.0	0.0
106.92258	38.33100	0.32053E+0	0.17718E+0	0.14335E+0	1.94433E-3	0.15507E+0	1.74676E-2	0.0	0.0
109.23027	40.35700	2.77027E+0	1.07721E+0	1.69306E+0	4.54304E-3	0.74669E+0	0.30387E+0	0.0	0.0
111.53796	42.38300	9.04163E+0	2.31613E+0	6.72550E+0	3.62771E-3	1.06727E+0	1.18519E+0	0.0	0.0
113.84565	44.40900	1.94299E+1	3.59330E+0	1.58366E+1	1.70812E-3	0.96230E+0	2.51220E+0	1.92645E-3	0.0
116.15334	46.43500	3.42577E+1	4.99061E+0	2.92671E+1	7.01969E-4	0.69454E+0	4.02228E+0	7.74657E-2	0.0
118.46103	48.46100	5.48388E+1	6.96189E+0	4.78769E+1	3.62481E-4	0.47963E+0	5.54060E+0	0.60490E+0	0.0
120.76872	50.48700	9.06153E+1	1.31186E+1	7.74967E+1	6.58858E-4	0.42143E+0	8.87392E+0	3.07022E+0	0.0
123.07641	52.51300	1.54465E+2	2.18823E+1	1.32582E+2	3.06301E-4	0.34356E+0	1.10560E+1	8.90836E+0	0.0
125.38410	54.53900	2.25417E+2	2.28072E+1	2.02610E+2	1.48999E-4	0.17075E+0	7.78402E+0	1.28071E+1	2.97999E-3
127.69179	56.56500	2.94122E+2	2.14834E+1	2.72639E+2	0.0	7.89317E-2	4.60681E+0	1.44534E+1	7.21272E-2
129.99948	58.59100	3.60050E+2	2.05779E+1	3.39472E+2	0.0	3.11768E-2	2.53651E+0	1.49882E+1	0.45194E+0
