Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 25675 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	3n	4n	5n	6n	
70.00027	3.49700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72.30800	5.51220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74.61562	7.52730	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76.92335	9.54250	3.80099E-43	3.80100E-43	0.0	0.0	0.0	0.0	0.0	0.0
79.23096	11.55760	1.32671E-38	1.32671E-38	0.0	0.0	0.0	0.0	0.0	0.0
81.53869	13.57280	1.59845E-34	1.59845E-34	0.0	0.0	0.0	0.0	0.0	0.0
83.84630	15.58790	8.16558E-31	8.16557E-31	0.0	0.0	0.0	0.0	0.0	0.0
86.15403	17.60310	1.58441E-27	1.53307E-27	5.13430E-29	1.19718E-28	0.0	0.0	0.0	0.0
88.46165	19.61820	1.49428E-24	1.29029E-24	2.03991E-25	6.35601E-25	0.0	0.0	0.0	0.0
90.76938	21.63340	7.84006E-22	7.07697E-22	7.63089E-23	5.86806E-22	0.0	0.0	0.0	0.0
93.07699	23.64850	2.83857E-19	2.59501E-19	2.43558E-20	2.46212E-19	0.0	0.0	0.0	0.0
95.38472	25.66370	7.06816E-17	6.30174E-17	7.66417E-18	6.19135E-17	2.42258E-19	0.0	0.0	0.0
97.69234	27.67880	1.25499E-14	1.06720E-14	1.87797E-15	9.00955E-15	1.59593E-15	0.0	0.0	0.0
100.00006	29.69400	1.59329E-12	1.26613E-12	3.27161E-13	6.61830E-13	5.97168E-13	0.0	0.0	0.0
102.30779	31.70920	1.58599E-10	1.19250E-10	3.93486E-11	3.07871E-11	8.77530E-11	0.0	0.0	0.0
104.61541	33.72430	1.18566E-8	8.36127E-9	3.49533E-9	8.86185E-10	7.39011E-9	0.0	0.0	0.0
106.92314	35.73950	7.23075E-7	4.75554E-7	2.47521E-7	1.88408E-8	4.49306E-7	2.39382E-9	0.0	0.0
109.23075	37.75460	3.63363E-5	2.21995E-5	1.41368E-5	3.22675E-7	2.01092E-5	1.43930E-6	0.0	0.0
111.53848	39.76980	1.45718E-3	8.15679E-4	6.41498E-4	3.80257E-6	6.01884E-4	1.94385E-4	0.0	0.0
113.84610	41.78490	4.84049E-2	2.50196E-2	2.33852E-2	2.63941E-5	1.24919E-2	1.19678E-2	0.0	0.0
116.15371	43.80000	0.83632E+0	0.35433E+0	0.48198E+0	1.95440E-4	0.10589E+0	0.23850E+0	3.25733E-5	0.0
118.46121	45.81500	4.28166E+0	1.18769E+0	3.09397E+0	6.67055E-4	0.20178E+0	0.93554E+0	9.50553E-3	0.0
120.76871	47.83000	1.11619E+1	2.14675E+0	9.01520E+0	0.0	0.18606E+0	1.73983E+0	0.12042E+0	0.0
123.07735	49.84600	2.15881E+1	3.07488E+0	1.85132E+1	8.40821E-4	0.11603E+0	2.22565E+0	0.54232E+0	0.0
125.38485	51.86100	3.58958E+1	4.18027E+0	3.17156E+1	0.0	9.78660E-2	2.38513E+0	1.38690E+0	0.0
127.69235	53.87600	5.52913E+1	5.64434E+0	4.96470E+1	0.0	2.36886E-2	2.15781E+0	2.97399E+0	0.0
129.99985	55.89100	8.81680E+1	1.04256E+1	7.77424E+1	0.0	2.40380E-2	2.54460E+0	6.89204E+0	1.71700E-2
