Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 134183 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	0n	1n	3n	2n	5n	4n	6n
90.00024	7.68400	8.27479E-37	8.27411E-37	0.0	8.27411E-37	0.0	0.0	0.0	0.0	0.0	0.0
92.30795	9.66360	1.39243E-32	1.39243E-32	0.0	7.57601E-33	6.34829E-33	0.0	0.0	0.0	0.0	0.0
94.61566	11.64320	8.42431E-29	8.09683E-29	3.27472E-30	2.18093E-29	5.91590E-29	0.0	0.0	0.0	0.0	0.0
96.92326	13.62270	1.19036E-25	1.17617E-25	1.41939E-27	7.93526E-27	1.09677E-25	0.0	0.0	0.0	0.0	0.0
99.23097	15.60230	7.98274E-23	7.83918E-23	1.43553E-24	9.27471E-25	7.74251E-23	0.0	0.0	0.0	0.0	0.0
101.53868	17.58190	2.93318E-20	2.80614E-20	1.27048E-21	5.59605E-23	2.79427E-20	0.0	3.21336E-23	0.0	0.0	0.0
103.84639	19.56150	8.17221E-18	7.10707E-18	1.06514E-18	2.07072E-21	6.41198E-18	0.0	6.79622E-19	0.0	0.0	0.0
106.15398	21.54100	1.54407E-15	1.24711E-15	2.96954E-16	2.30144E-20	6.46715E-16	0.0	5.96625E-16	0.0	0.0	0.0
108.46169	23.52060	2.11864E-13	1.66388E-13	4.54760E-14	1.57892E-18	3.66530E-14	0.0	1.29208E-13	0.0	0.0	0.0
110.76940	25.50020	2.33305E-11	1.71989E-11	6.13155E-12	0.0	1.30785E-12	0.0	1.58045E-11	0.0	0.0	0.0
113.07711	27.47980	1.91722E-9	1.29697E-9	6.20245E-10	0.0	3.02764E-11	1.14019E-11	1.24545E-9	0.0	0.0	0.0
115.38471	29.45930	1.26142E-7	7.73296E-8	4.88125E-8	0.0	5.30202E-10	1.24212E-8	6.35650E-8	0.0	0.0	0.0
117.69254	31.43900	6.70662E-6	3.72555E-6	2.98107E-6	0.0	8.39683E-9	1.72025E-6	1.94647E-6	0.0	0.0	0.0
120.00071	33.41900	2.91898E-4	1.46242E-4	1.45656E-4	0.0	9.78918E-8	1.04501E-4	3.90240E-5	0.0	0.0	0.0
122.30772	35.39800	1.06322E-2	4.84150E-3	5.79067E-3	0.0	4.75418E-7	4.14374E-3	5.84685E-4	0.0	7.92364E-8	0.0
124.61590	37.37800	0.26856E+0	0.10491E+0	0.16366E+0	0.0	0.0	9.62557E-2	5.19987E-3	0.0	2.78207E-4	0.0
126.92291	39.35700	2.18183E+0	0.55884E+0	1.62298E+0	0.0	1.62601E-5	0.50316E+0	1.16585E-2	0.0	2.28129E-2	0.0
129.23109	41.33700	6.94721E+0	1.11449E+0	5.83272E+0	0.0	0.0	0.85950E+0	8.85337E-3	0.0	0.18923E+0	0.0
131.53810	43.31600	1.47448E+1	1.67466E+0	1.30701E+1	0.0	0.0	0.95919E+0	5.05474E-3	0.0	0.61228E+0	0.0
133.84628	45.29600	2.56646E+1	2.20568E+0	2.34589E+1	0.0	0.0	0.80255E+0	3.06025E-3	0.0	1.23405E+0	0.0
136.15445	47.27600	4.00573E+1	2.80467E+0	3.72527E+1	0.0	0.0	0.61317E+0	1.79117E-3	3.88086E-3	1.94103E+0	0.0
138.46146	49.25500	5.95762E+1	3.87606E+0	5.57002E+1	0.0	0.0	0.43244E+0	0.0	6.88188E-2	2.96099E+0	0.0
140.76964	51.23500	9.40460E+1	7.69986E+0	8.63461E+1	0.0	0.0	0.43033E+0	7.00879E-4	0.53967E+0	5.77314E+0	0.0
143.07665	53.21400	1.50918E+2	1.14620E+1	1.39456E+2	0.0	0.0	0.33516E+0	0.0	2.01662E+0	7.43214E+0	0.0
145.38483	55.19400	2.12058E+2	1.14971E+1	2.00560E+2	0.0	0.0	0.13907E+0	0.0	3.38513E+0	5.96112E+0	0.0
147.69184	57.17300	2.71415E+2	1.11452E+1	2.60270E+2	0.0	0.0	6.47271E-2	0.0	4.59765E+0	4.18299E+0	0.0
150.00002	59.15300	3.28675E+2	1.08143E+1	3.17860E+2	0.0	0.0	3.91912E-2	0.0	5.54801E+0	2.67235E+0	9.79781E-3
