Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 69608 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	1n	2n	3n	4n	5n	6n	0n	7n	8n	
99.99993	14.14800	2.35036E-33	2.35033E-33	3.30436E-38	2.30687E-33	0.0	0.0	0.0	0.0	0.0	4.28149E-35	0.0	0.0
102.32550	16.13190	1.33111E-29	1.31006E-29	2.10719E-31	1.29971E-29	0.0	0.0	0.0	0.0	0.0	9.40847E-32	0.0	0.0
104.65108	18.11580	3.36198E-26	3.21718E-26	1.44587E-27	3.18690E-26	2.29419E-28	0.0	0.0	0.0	0.0	3.04282E-29	0.0	0.0
106.97665	20.09970	4.22152E-23	3.59157E-23	6.28933E-24	2.91093E-23	6.71847E-24	0.0	0.0	0.0	0.0	3.63882E-27	0.0	0.0
109.30222	22.08360	2.13532E-20	1.75359E-20	3.81949E-21	7.29085E-21	1.01947E-20	0.0	0.0	0.0	0.0	6.13527E-25	0.0	0.0
111.62779	24.06750	6.29687E-18	4.98572E-18	1.31100E-18	8.02126E-19	4.16487E-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
113.95336	26.05140	1.21702E-15	9.01141E-16	3.15784E-16	5.00391E-17	8.46451E-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
116.27893	28.03530	1.63545E-13	1.11076E-13	5.24418E-14	1.79033E-15	1.04939E-13	3.42089E-15	0.0	0.0	0.0	0.0	0.0	0.0
118.60427	30.01900	1.73391E-11	1.06305E-11	6.70611E-12	4.90720E-14	7.84754E-12	2.61203E-12	0.0	0.0	0.0	0.0	0.0	0.0
120.92996	32.00300	1.45767E-9	8.13879E-10	6.43308E-10	1.21459E-12	3.55246E-10	4.45817E-10	0.0	0.0	0.0	0.0	0.0	0.0
123.25565	33.98700	9.35734E-8	4.73997E-8	4.61480E-8	1.88201E-11	1.02556E-8	3.62273E-8	0.0	0.0	0.0	0.0	0.0	0.0
125.58134	35.97100	5.09154E-6	2.34140E-6	2.75017E-6	2.19438E-10	2.14025E-7	2.07295E-6	1.46292E-10	0.0	0.0	0.0	0.0	0.0
127.90703	37.95500	2.23411E-4	9.41684E-5	1.29183E-4	0.0	3.55619E-6	8.70271E-5	8.02389E-7	0.0	0.0	0.0	0.0	0.0
130.23272	39.93900	8.27410E-3	3.15165E-3	5.12518E-3	1.18867E-7	3.91073E-5	2.75047E-3	2.48076E-4	0.0	0.0	0.0	0.0	0.0
132.55841	41.92300	0.21331E+0	7.05492E-2	0.14284E+0	0.0	4.19844E-4	4.97531E-2	1.71033E-2	0.0	0.0	0.0	0.0	0.0
134.88409	43.90700	1.82532E+0	0.40323E+0	1.42189E+0	0.0	8.12910E-4	0.19599E+0	0.18141E+0	0.0	0.0	0.0	0.0	0.0
137.20978	45.89100	5.96936E+0	0.82593E+0	5.14222E+0	0.0	4.28784E-4	0.25161E+0	0.51162E+0	0.0	0.0	0.0	0.0	0.0
139.53430	47.87400	1.27958E+1	1.25591E+0	1.15357E+1	0.0	1.83827E-4	0.21305E+0	0.92226E+0	4.77951E-3	0.0	0.0	0.0	0.0
141.85999	49.85800	2.23551E+1	1.71659E+0	2.06397E+1	0.0	0.0	0.15640E+0	1.32606E+0	4.97794E-2	0.0	0.0	0.0	0.0
144.18568	51.84200	3.49572E+1	2.17503E+0	3.27830E+1	0.0	0.0	0.10696E+0	1.57038E+0	0.20088E+0	0.0	0.0	0.0	0.0
146.51137	53.82600	5.12602E+1	2.81898E+0	4.84366E+1	0.0	0.0	7.58505E-2	1.71510E+0	0.59133E+0	0.0	0.0	0.0	0.0
148.83706	55.81000	7.59847E+1	4.71137E+0	7.12608E+1	0.0	0.0	6.87713E-2	2.19522E+0	1.59156E+0	0.0	0.0	0.0	0.0
151.16274	57.79400	1.22195E+2	8.72297E+0	1.13473E+2	0.0	0.0	5.61753E-2	2.83861E+0	3.99196E+0	1.75548E-3	0.0	0.0	0.0
153.48843	59.77800	1.79712E+2	9.98115E+0	1.69750E+2	0.0	0.0	3.35631E-2	2.17386E+0	5.40882E+0	2.06542E-2	0.0	0.0	0.0
155.81412	61.76200	2.36647E+2	9.31181E+0	2.27292E+2	0.0	0.0	6.79943E-3	1.27829E+0	5.32055E+0	9.51920E-2	0.0	0.0	0.0
158.13981	63.74600	2.91711E+2	9.06463E+0	2.82647E+2	0.0	0.0	8.38153E-3	0.71662E+0	5.06245E+0	0.31011E+0	0.0	0.0	0.0
160.46550	65.73000	3.44919E+2	8.67152E+0	3.36238E+2	0.0	0.0	4.95516E-3	0.47569E+0	4.42991E+0	0.66399E+0	0.0	0.0	0.0
162.79002	67.71300	3.96350E+2	8.19372E+0	3.88147E+2	0.0	0.0	0.0	0.15943E+0	3.58724E+0	0.96229E+0	0.0	0.0	0.0
165.11571	69.69700	4.46083E+2	7.76711E+0	4.38269E+2	0.0	0.0	0.0	9.61275E-2	2.79411E+0	1.33297E+0	0.0	0.0	0.0
167.44139	71.68100	4.94192E+2	7.66051E+0	4.86556E+2	0.0	0.0	0.0	6.38967E-2	2.01630E+0	1.72521E+0	0.0	0.0	0.0
169.76708	73.66500	5.40746E+2	7.75291E+0	5.32984E+2	0.0	0.0	0.0	3.88422E-2	1.49931E+0	1.91881E+0	0.0	3.10738E-2	0.0
172.09277	75.64900	5.85812E+2	7.22081E+0	5.78622E+2	0.0	0.0	0.0	4.20793E-2	0.79950E+0	2.03664E+0	0.0	8.41587E-2	0.0
