Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 2529042 events for each energy)
Elab(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	8n	7n	9n	6n	10n	5n	11n	4n	12n	3n	
69.99990	52.49000	1.67844E+3	2.03764E+2	1.47468E+3	0.0	0.77184E+0	0.0	1.41941E+2	0.0	5.52236E+1	0.0	0.70282E+0	0.0	2.65466E-3
72.06892	54.47360	1.73536E+3	1.95130E+2	1.54022E+3	0.0	4.11154E+0	0.0	1.53271E+2	0.0	3.18555E+1	0.0	0.32387E+0	0.0	0.0
74.13784	56.45710	1.78730E+3	1.87250E+2	1.60004E+3	0.0	1.27533E+1	0.0	1.49659E+2	0.0	1.81864E+1	0.0	0.11519E+0	0.0	0.0
76.20685	58.44070	1.83527E+3	1.78467E+2	1.65680E+3	7.25678E-4	2.82434E+1	0.0	1.33116E+2	0.0	9.57170E+0	0.0	5.15232E-2	0.0	0.0
78.27577	60.42420	1.88016E+3	1.71428E+2	1.70873E+3	2.15594E-2	4.84493E+1	0.0	1.09017E+2	0.0	5.11925E+0	0.0	2.82503E-2	0.0	0.0
80.34479	62.40780	1.92230E+3	1.64883E+2	1.75742E+3	0.35040E+0	6.90374E+1	0.0	8.32168E+1	0.0	2.59114E+0	0.0	1.74820E-2	0.0	0.0
82.41370	64.39130	1.96180E+3	1.59978E+2	1.80182E+3	1.72363E+0	8.59307E+1	0.0	6.00282E+1	0.0	1.38542E+0	0.0	3.10284E-3	0.0	0.0
84.48272	66.37490	1.99889E+3	1.56451E+2	1.84245E+3	5.52076E+0	9.68034E+1	0.0	4.11706E+1	0.0	0.66470E+0	0.0	3.95187E-3	0.0	0.0
86.55163	68.35840	2.03398E+3	1.52158E+2	1.88183E+3	1.27192E+1	9.85368E+1	0.0	2.69167E+1	0.0	0.37558E+0	0.0	8.04250E-4	0.0	0.0
88.62065	70.34200	2.06766E+3	1.48887E+2	1.91877E+3	2.33864E+1	9.30675E+1	2.45269E-3	1.71868E+1	0.0	0.16678E+0	0.0	0.0	0.0	0.0
