Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 105217 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	2n	4n	3n	6n	7n	5n	8n	1n	9n	
64.14000	31.28000	2.71030E-2	2.16416E-2	5.46145E-3	6.31125E-3	0.0	1.51925E-2	0.0	0.0	0.0	0.0	4.63665E-6	0.0
65.14220	32.28220	0.13370E+0	0.10338E+0	3.03313E-2	2.06809E-2	0.0	8.19826E-2	0.0	0.0	0.0	0.0	1.14371E-5	0.0
66.14430	33.28430	0.56909E+0	0.42115E+0	0.14794E+0	5.40332E-2	0.0	0.36371E+0	0.0	0.0	0.0	0.0	2.16349E-5	0.0
67.14650	34.28650	1.91470E+0	1.31221E+0	0.60248E+0	0.10860E+0	1.45581E-4	1.19218E+0	0.0	0.0	0.0	0.0	1.81977E-5	0.0
68.14870	35.28870	4.74962E+0	2.93124E+0	1.81838E+0	0.15785E+0	5.64264E-3	2.73795E+0	0.0	0.0	0.0	0.0	0.0	0.0
69.15090	36.29090	9.39012E+0	4.96356E+0	4.42657E+0	0.17206E+0	4.92634E-2	4.68672E+0	0.0	0.0	0.0	0.0	0.0	0.0
70.15300	37.29300	1.59640E+1	7.17492E+0	8.78912E+0	0.15688E+0	0.23638E+0	6.67969E+0	0.0	0.0	0.0	0.0	1.51725E-4	0.0
71.15520	38.29520	2.45721E+1	9.44027E+0	1.51318E+1	0.12891E+0	0.78795E+0	8.37114E+0	0.0	0.0	0.0	0.0	0.0	0.0
72.15740	39.29740	3.55132E+1	1.19088E+1	2.36043E+1	9.34939E-2	1.97451E+0	9.61975E+0	0.0	0.0	0.0	0.0	0.0	0.0
73.15950	40.29950	4.93589E+1	1.49010E+1	3.44580E+1	7.17747E-2	4.13901E+0	1.03839E+1	0.0	0.0	0.0	0.0	0.0	0.0
74.16170	41.30170	6.83447E+1	1.98824E+1	4.84623E+1	4.93665E-2	7.90579E+0	1.14615E+1	0.0	0.0	0.0	0.0	0.0	0.0
75.16390	42.30390	9.61622E+1	2.84081E+1	6.77542E+1	4.20413E-2	1.47273E+1	1.29606E+1	0.0	0.0	0.0	0.0	0.0	0.0
76.16610	43.30610	1.35045E+2	4.06996E+1	9.43457E+1	2.56699E-2	2.51295E+1	1.44496E+1	0.0	0.0	0.0	0.0	0.0	0.0
77.16820	44.30820	1.80841E+2	5.08903E+1	1.29951E+2	2.40624E-2	3.58169E+1	1.35025E+1	0.0	0.0	2.74999E-2	0.0	0.0	0.0
78.17040	45.31040	2.28404E+2	5.69551E+1	1.71449E+2	2.17079E-2	4.34767E+1	1.13033E+1	0.0	0.0	0.23444E+0	0.0	0.0	0.0
79.17260	46.31260	2.75474E+2	5.87277E+1	2.16746E+2	1.04726E-2	4.67863E+1	8.93050E+0	0.0	0.0	0.71475E+0	0.0	0.0	0.0
80.17480	47.31480	3.21425E+2	5.72819E+1	2.64143E+2	6.10975E-3	4.66754E+1	6.00588E+0	0.0	0.0	2.01011E+0	0.0	0.0	0.0
81.17690	48.31690	3.66137E+2	5.58617E+1	3.10275E+2	3.47983E-3	4.47297E+1	4.34630E+0	0.0	0.0	4.10272E+0	0.0	0.0	0.0
82.17910	49.31910	4.09617E+2	5.38800E+1	3.55737E+2	3.89307E-3	4.10407E+1	2.85362E+0	0.0	0.0	6.90241E+0	0.0	0.0	0.0
83.18130	50.32130	4.51900E+2	5.18012E+1	4.00099E+2	0.0	3.56780E+1	2.02291E+0	0.0	0.0	1.09650E+1	0.0	0.0	0.0
84.18340	51.32340	4.93029E+2	4.99088E+1	4.43120E+2	0.0	3.03548E+1	1.27455E+0	0.0	0.0	1.49291E+1	0.0	0.0	0.0
85.18560	52.32560	5.33045E+2	4.81183E+1	4.84927E+2	0.0	2.51433E+1	0.73965E+0	0.0	0.0	1.86637E+1	0.0	0.0	0.0
86.18780	53.32780	5.71987E+2	4.60506E+1	5.25937E+2	0.0	2.04295E+1	0.60342E+0	5.43626E-3	0.0	2.14787E+1	0.0	0.0	0.0
87.19000	54.33000	6.09895E+2	4.50507E+1	5.64844E+2	0.0	1.55695E+1	0.39996E+0	5.79654E-3	0.0	2.50469E+1	0.0	0.0	0.0
88.19210	55.33210	6.46804E+2	4.36707E+1	6.03133E+2	0.0	1.21717E+1	0.20286E+0	2.45893E-2	0.0	2.68024E+1	0.0	0.0	0.0
89.19430	56.33430	6.82749E+2	4.17436E+1	6.41006E+2	0.0	9.28571E+0	0.16871E+0	8.43565E-2	0.0	2.78961E+1	0.0	0.0	0.0
90.19650	57.33650	7.17764E+2	4.11488E+1	6.76616E+2	0.0	7.34703E+0	8.18610E-2	0.29333E+0	0.0	2.88901E+1	0.0	0.0	0.0
91.19860	58.33860	7.51881E+2	4.00891E+1	7.11792E+2	0.0	5.45955E+0	7.86060E-2	0.69316E+0	0.0	2.85626E+1	0.0	0.0	0.0
92.20080	59.34080	7.85130E+2	3.94665E+1	7.45663E+2	0.0	4.05187E+0	4.47720E-2	1.59687E+0	0.0	2.86690E+1	0.0	0.0	0.0
93.20300	60.34300	8.17540E+2	3.70630E+1	7.80477E+2	0.0	2.51749E+0	4.66202E-2	2.17561E+0	0.0	2.69387E+1	0.0	0.0	0.0
94.20520	61.34520	8.49139E+2	3.69784E+1	8.12160E+2	0.0	2.21935E+0	1.61407E-2	4.03518E+0	0.0	2.54378E+1	0.0	0.0	0.0
95.20730	62.34730	8.79953E+2	3.56525E+1	8.44301E+2	0.0	1.65592E+0	1.67264E-2	5.25210E+0	0.0	2.26811E+1	0.0	0.0	0.0
96.20950	63.34950	9.10008E+2	3.59015E+1	8.74106E+2	0.0	1.05516E+0	8.64886E-3	7.00558E+0	0.0	2.11984E+1	0.0	0.0	0.0
97.21170	64.35170	9.39326E+2	3.43441E+1	9.04982E+2	0.0	0.70527E+0	0.0	8.96322E+0	0.0	1.81675E+1	0.0	0.0	0.0
