Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 6185 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	2n	4n	6n	7n	8n	9n	
64.14100	30.70100	5.86190E-2	5.46763E-2	3.94269E-3	4.53409E-2	0.0	5.90455E-3	5.68657E-5	0.0	0.0	0.0	0.0
65.14320	31.70320	0.29592E+0	0.27799E+0	1.79423E-2	0.23497E+0	0.0	2.19136E-2	2.58370E-3	0.0	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	1.09919E+0	9.83597E-2	0.93519E+0	0.0	6.35078E-2	2.67198E-2	0.0	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	3.07001E+0	0.41339E+0	2.55299E+0	0.0	0.13685E+0	0.13798E+0	0.0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	6.39930E+0	1.19319E+0	5.17419E+0	0.0	0.21359E+0	0.49593E+0	0.0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	1.11616E+1	2.55205E+0	8.55858E+0	0.0	0.29489E+0	1.30596E+0	0.0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	1.66135E+1	5.30982E+0	1.18035E+1	0.0	0.40408E+0	2.70808E+0	0.0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	2.33003E+1	9.13551E+0	1.50458E+1	0.0	0.33038E+0	5.13414E+0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	3.07559E+1	1.50043E+1	1.70315E+1	0.0	0.47350E+0	9.30001E+0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	4.13166E+1	2.22989E+1	1.97995E+1	0.0	0.52455E+0	1.51093E+1	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	5.68906E+1	3.29405E+1	2.19458E+1	4.35721E-2	0.36310E+0	2.55768E+1	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	8.35636E+1	4.45893E+1	2.56306E+1	0.20719E+0	0.33151E+0	4.39056E+1	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	1.15686E+2	5.94283E+1	3.04361E+1	1.47226E+0	0.25481E+0	6.42981E+1	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	1.44408E+2	8.01175E+1	2.78070E+1	2.72262E+0	0.21780E+0	8.73052E+1	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.68356E+2	1.05162E+2	2.67105E+1	5.08562E+0	0.26533E+0	1.03349E+2	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	1.93062E+2	1.28276E+2	2.74839E+1	1.04948E+1	0.20781E+0	1.16949E+2	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	2.08341E+2	1.59512E+2	2.46226E+1	1.56419E+1	0.0	1.25849E+2	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	2.19257E+2	1.93812E+2	1.95682E+1	2.03696E+1	0.20035E+0	1.27093E+2	0.0	0.0	0.0	0.0
