Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 42187 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	2n	6n	7n	8n	
64.14100	30.70100	5.86190E-2	3.55713E-2	2.30477E-2	3.45820E-2	0.0	1.73688E-4	7.00310E-4	0.0	0.0	0.0
65.14320	31.70320	0.29592E+0	0.16542E+0	0.13050E+0	0.15872E+0	0.0	4.22986E-3	1.86591E-3	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	0.59141E+0	0.60614E+0	0.53860E+0	0.0	4.68380E-2	3.71865E-3	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	1.41493E+0	2.06847E+0	1.17993E+0	0.0	0.22484E+0	5.36708E-3	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	2.41145E+0	5.18105E+0	1.76031E+0	0.0	0.63134E+0	5.57915E-3	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	3.39763E+0	1.03161E+1	2.01283E+0	0.0	1.35619E+0	4.22590E-3	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	4.40006E+0	1.75233E+1	2.04491E+0	0.0	2.32345E+0	1.03934E-3	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	5.27052E+0	2.71653E+1	1.84449E+0	0.0	3.36990E+0	7.68857E-4	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	6.56784E+0	3.91923E+1	1.62596E+0	0.0	4.87463E+0	4.33879E-3	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	7.89559E+0	5.57200E+1	1.22445E+0	4.52383E-3	6.58217E+0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	1.16007E+1	7.82304E+1	1.34575E+0	9.79503E-2	1.00335E+1	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	1.59663E+1	1.12187E+2	1.28496E+0	0.34933E+0	1.41072E+1	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	1.92269E+1	1.55887E+2	1.04188E+0	1.18301E+0	1.66575E+1	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	1.96760E+1	2.04849E+2	0.62801E+0	2.27788E+0	1.63603E+1	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	1.88215E+1	2.54696E+2	0.55109E+0	3.53997E+0	1.42960E+1	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	1.68792E+1	3.04459E+2	0.45702E+0	4.44071E+0	1.14483E+1	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	1.58696E+1	3.51983E+2	0.10463E+0	6.19089E+0	9.12939E+0	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	1.38548E+1	3.99215E+2	9.79140E-2	6.36441E+0	6.82460E+0	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	1.22959E+1	4.44734E+2	5.41671E-2	6.57589E+0	5.22171E+0	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	1.18112E+1	4.87967E+2	5.92337E-2	7.27389E+0	3.86203E+0	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	1.01247E+1	5.31234E+2	0.0	6.98080E+0	2.52797E+0	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	8.89538E+0	5.72918E+2	0.0	6.41295E+0	1.72391E+0	0.0	2.75826E-2	0.0	0.0
86.18980	52.74980	6.21183E+2	8.46660E+0	6.12716E+2	0.0	6.41989E+0	1.44300E+0	0.0	8.83471E-2	0.0	0.0
87.19200	53.75200	6.59506E+2	7.84773E+0	6.51659E+2	0.0	5.98741E+0	0.93797E+0	0.0	0.45335E+0	0.0	0.0
88.19420	54.75420	6.96820E+2	7.43283E+0	6.89388E+2	0.0	5.79761E+0	0.42945E+0	0.0	0.59462E+0	0.0	0.0
89.19650	55.75650	7.33161E+2	5.97831E+0	7.27182E+2	0.0	4.10140E+0	0.46922E+0	0.0	0.53874E+0	0.0	0.0
90.19870	56.75870	7.68560E+2	5.97548E+0	7.62585E+2	0.0	4.04438E+0	0.32792E+0	0.0	1.07486E+0	0.0	0.0
91.20090	57.76090	8.03051E+2	5.00634E+0	7.98045E+2	0.0	3.36929E+0	0.15228E+0	0.0	1.00888E+0	0.0	0.0
92.20310	58.76310	8.36664E+2	4.93824E+0	8.31726E+2	0.0	3.07400E+0	1.98323E-2	0.0	1.18994E+0	0.0	0.0
93.20530	59.76530	8.69429E+2	4.10118E+0	8.65328E+2	0.0	1.87541E+0	6.18268E-2	0.0	1.38080E+0	0.0	0.0
94.20760	60.76760	9.01373E+2	4.67918E+0	8.96694E+2	0.0	2.07251E+0	0.12819E+0	0.0	1.66656E+0	2.13661E-2	0.0
95.20980	61.76980	9.32524E+2	4.39879E+0	9.28125E+2	0.0	1.52521E+0	2.21045E-2	0.0	1.92309E+0	4.42091E-2	0.0
96.21200	62.77200	9.62907E+2	3.53783E+0	9.59369E+2	0.0	1.16406E+0	0.0	0.0	1.50643E+0	2.28247E-2	0.0
97.21420	63.77420	9.92547E+2	3.15266E+0	9.89395E+2	0.0	0.75287E+0	0.0	0.0	1.67044E+0	0.11763E+0	0.0
98.21640	64.77640	1.02147E+3	3.36558E+0	1.01810E+3	0.0	0.77481E+0	2.42129E-2	0.0	1.62226E+0	9.68514E-2	0.0
99.21870	65.77870	1.04969E+3	2.86141E+0	1.04683E+3	0.0	0.52251E+0	0.0	0.0	1.49291E+0	9.95275E-2	0.0
100.22100	66.78100	1.07724E+3	2.80884E+0	1.07443E+3	0.0	0.45962E+0	0.0	0.0	1.60870E+0	0.15321E+0	0.0
101.22300	67.78300	1.10415E+3	2.61727E+0	1.10153E+3	0.0	0.28790E+0	0.0	0.0	1.36098E+0	0.28790E+0	0.0
102.22500	68.78500	1.13043E+3	2.43842E+0	1.12800E+3	0.0	0.16077E+0	0.0	0.0	1.01824E+0	0.40193E+0	0.0
103.22800	69.78800	1.15612E+3	2.21977E+0	1.15390E+3	0.0	0.19183E+0	0.0	0.0	0.95916E+0	0.35625E+0	0.0
104.23000	70.79000	1.18119E+3	2.60390E+0	1.17859E+3	0.0	0.30798E+0	2.79990E-2	0.0	0.89596E+0	0.41998E+0	0.0
105.23200	71.79200	1.20564E+3	1.94334E+0	1.20370E+3	0.0	8.57358E-2	0.0	0.0	0.37152E+0	0.40010E+0	0.0
106.23400	72.79400	1.22949E+3	1.77778E+0	1.22771E+3	0.0	0.17486E+0	0.0	0.0	0.52459E+0	0.49544E+0	0.0
107.23600	73.79600	1.25283E+3	1.51455E+0	1.25131E+3	0.0	5.93941E-2	0.0	0.0	0.17818E+0	0.71272E+0	0.0
108.23900	74.79900	1.27575E+3	1.81442E+0	1.27394E+3	0.0	3.02404E-2	0.0	0.0	0.33264E+0	0.42336E+0	0.0
109.24100	75.80100	1.29820E+3	1.47708E+0	1.29673E+3	0.0	0.0	0.0	0.0	0.40004E+0	0.43081E+0	0.0
110.24300	76.80300	1.32000E+3	1.22028E+0	1.31878E+3	0.0	3.12893E-2	0.0	0.0	0.34418E+0	0.37547E+0	0.0
111.24500	77.80500	1.34120E+3	1.23988E+0	1.33996E+3	0.0	0.0	0.0	0.0	0.19075E+0	0.44508E+0	3.17917E-2
112.24800	78.80800	1.36210E+3	1.32378E+0	1.36078E+3	0.0	0.0	0.0	0.0	0.22601E+0	0.29058E+0	0.0
113.25000	79.81000	1.38270E+3	1.31102E+0	1.38139E+3	0.0	0.0	0.0	0.0	0.16387E+0	0.29498E+0	6.55511E-2
114.25200	80.81200	1.40263E+3	1.42966E+0	1.40120E+3	0.0	0.0	0.0	0.0	0.23273E+0	0.23273E+0	9.97435E-2
115.25400	81.81400	1.42205E+3	1.44945E+0	1.42060E+3	0.0	3.37082E-2	0.0	0.0	0.16854E+0	0.30337E+0	0.10112E+0
116.25600	82.81600	1.44132E+3	0.99078E+0	1.44033E+3	0.0	0.0	0.0	0.0	0.10249E+0	0.17082E+0	3.41650E-2
117.25900	83.81900	1.46001E+3	1.10745E+0	1.45890E+3	0.0	0.0	0.0	0.0	0.0	0.41529E+0	6.92160E-2
118.26100	84.82100	1.47822E+3	0.80591E+0	1.47741E+3	0.0	0.0	0.0	0.0	3.50397E-2	0.10511E+0	7.00793E-2
119.26300	85.82300	1.49642E+3	1.02866E+0	1.49539E+3	0.0	0.0	0.0	0.0	0.0	0.28376E+0	0.10641E+0
120.26500	86.82500	1.51377E+3	0.86118E+0	1.51291E+3	0.0	0.0	0.0	0.0	0.0	0.14352E+0	0.14352E+0
121.26700	87.82700	1.53079E+3	0.83458E+0	1.52996E+3	0.0	0.0	0.0	0.0	0.0	0.21771E+0	0.10885E+0
122.27000	88.83000	1.54823E+3	1.28447E+0	1.54695E+3	0.0	0.0	0.0	0.0	3.66993E-2	0.11009E+0	0.18349E+0
123.27200	89.83200	1.56415E+3	1.26060E+0	1.56288E+3	0.0	0.0	0.0	0.0	3.70765E-2	0.22245E+0	0.18538E+0
124.27400	90.83400	1.58026E+3	0.93646E+0	1.57932E+3	0.0	0.0	0.0	0.0	0.0	0.11237E+0	3.74584E-2
125.27600	91.83600	1.59689E+3	1.09772E+0	1.59579E+3	0.0	0.0	0.0	0.0	0.0	7.57051E-2	0.15141E+0
126.27900	92.83900	1.61125E+3	1.29857E+0	1.60995E+3	0.0	0.0	0.0	0.0	0.0	7.63863E-2	0.15277E+0
127.28100	93.84100	1.62719E+3	1.04142E+0	1.62615E+3	0.0	0.0	0.0	0.0	0.0	0.0	0.15428E+0
128.28300	94.84300	1.64219E+3	0.27248E+0	1.64192E+3	0.0	0.0	0.0	0.0	0.0	0.11677E+0	3.89265E-2

