Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 106 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	5n	2n	7n	6n	8n	
64.14100	30.70100	5.86190E-2	4.97708E-2	8.84815E-3	4.64528E-2	0.0	0.0	2.21204E-3	0.0	0.0	0.0
65.14320	31.70320	0.29592E+0	0.24568E+0	5.02521E-2	0.22892E+0	0.0	0.0	8.37535E-3	0.0	0.0	0.0
66.14540	32.70540	1.19755E+0	0.93770E+0	0.25984E+0	0.83602E+0	5.64881E-2	0.0	2.25953E-2	0.0	0.0	0.0
67.14770	33.70770	3.48340E+0	2.72757E+0	0.75583E+0	2.39895E+0	0.23003E+0	0.0	0.0	0.0	0.0	0.0
68.14990	34.70990	7.59250E+0	4.51252E+0	3.07998E+0	3.79625E+0	0.42976E+0	0.0	0.14325E+0	0.0	0.0	0.0
69.15210	35.71210	1.37137E+1	8.15057E+0	5.56310E+0	6.33934E+0	1.55249E+0	0.0	0.12937E+0	0.0	0.0	0.0
70.15430	36.71430	2.19234E+1	1.17890E+1	1.01344E+1	4.96378E+0	6.20473E+0	0.0	0.20682E+0	0.0	0.0	0.0
71.15650	37.71650	3.24358E+1	1.34639E+1	1.89719E+1	6.11996E+0	6.42596E+0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	2.07216E+1	2.50386E+1	8.63400E+0	1.16559E+1	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	3.12076E+1	3.24079E+1	9.00220E+0	2.10051E+1	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	3.98308E+1	5.00003E+1	6.77971E+0	2.88138E+1	0.0	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	5.80315E+1	7.01214E+1	1.45079E+1	3.74787E+1	1.20899E+0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	8.75569E+1	8.75569E+1	6.60807E+0	7.59928E+1	1.65202E+0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	9.74354E+1	1.27090E+2	1.27090E+1	7.41356E+1	6.35448E+0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	9.80535E+1	1.75464E+2	7.74107E+0	5.93482E+1	1.80625E+1	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	8.18504E+1	2.39488E+2	0.0	5.45669E+1	1.51575E+1	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	1.07579E+2	2.60273E+2	3.47031E+0	7.63467E+1	2.42921E+1	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	7.40408E+1	3.39029E+2	0.0	4.67626E+1	2.72782E+1	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	1.07790E+2	3.49240E+2	8.62321E+0	6.03624E+1	3.88044E+1	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	8.95828E+1	4.10195E+2	0.0	3.30042E+1	4.71489E+1	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	1.02143E+2	4.39215E+2	0.0	3.57501E+1	6.12858E+1	0.0	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	1.09776E+2	4.72037E+2	0.0	2.74440E+1	7.68432E+1	0.0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	1.17204E+2	5.03979E+2	0.0	4.68817E+1	7.03226E+1	0.0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	4.97741E+1	6.09732E+2	0.0	1.86653E+1	1.86653E+1	0.0	0.0	6.22176E+0	0.0
88.19420	54.75420	6.96820E+2	7.88854E+1	6.17935E+2	0.0	6.57378E+0	6.57378E+1	0.0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	9.68325E+1	6.36328E+2	0.0	6.91661E+0	8.29993E+1	0.0	0.0	6.91661E+0	0.0
90.19870	56.75870	7.68560E+2	1.16009E+2	6.52551E+2	0.0	7.25057E+0	8.70068E+1	0.0	0.0	1.45011E+1	0.0
91.20090	57.76090	8.03051E+2	6.81836E+1	7.34868E+2	0.0	0.0	4.54557E+1	0.0	0.0	7.57596E+0	0.0
92.20310	58.76310	8.36664E+2	1.26289E+2	7.10375E+2	0.0	0.0	7.89306E+1	0.0	0.0	2.36792E+1	0.0
93.20530	59.76530	8.69429E+2	9.84259E+1	7.71003E+2	0.0	0.0	5.74151E+1	0.0	0.0	2.46065E+1	0.0
94.20760	60.76760	9.01373E+2	1.02042E+2	7.99331E+2	0.0	0.0	5.10211E+1	0.0	0.0	4.25176E+1	0.0
95.20980	61.76980	9.32524E+2	7.03791E+1	8.62145E+2	0.0	8.79739E+0	4.39870E+1	0.0	0.0	8.79739E+0	0.0
96.21200	62.77200	9.62907E+2	9.99244E+1	8.62983E+2	0.0	0.0	1.81681E+1	0.0	0.0	4.54201E+1	0.0
97.21420	63.77420	9.92547E+2	8.42728E+1	9.08274E+2	0.0	0.0	3.74546E+1	0.0	0.0	1.87273E+1	0.0
98.21640	64.77640	1.02147E+3	7.70918E+1	9.44376E+2	0.0	0.0	9.63649E+0	0.0	0.0	4.81824E+1	0.0
99.21870	65.77870	1.04969E+3	1.18833E+2	9.30858E+2	0.0	0.0	2.97082E+1	0.0	9.90275E+0	3.96110E+1	0.0
100.22100	66.78100	1.07724E+3	1.11789E+2	9.65453E+2	0.0	0.0	4.06507E+1	0.0	0.0	6.09760E+1	0.0
101.22300	67.78300	1.10415E+3	8.33320E+1	1.02082E+3	0.0	1.04165E+1	0.0	0.0	0.0	5.20825E+1	0.0
102.22500	68.78500	1.13043E+3	5.33223E+1	1.07711E+3	0.0	0.0	1.06645E+1	0.0	0.0	2.13289E+1	0.0
103.22800	69.78800	1.15612E+3	4.36271E+1	1.11249E+3	0.0	0.0	0.0	0.0	1.09068E+1	2.18135E+1	0.0
104.23000	70.79000	1.18119E+3	7.80032E+1	1.10319E+3	0.0	0.0	0.0	0.0	0.0	3.34300E+1	0.0
105.23200	71.79200	1.20564E+3	1.13740E+2	1.09190E+3	0.0	0.0	0.0	0.0	3.41220E+1	3.41220E+1	0.0
106.23400	72.79400	1.22949E+3	1.04390E+2	1.12510E+3	0.0	0.0	3.47970E+1	0.0	4.63959E+1	1.15990E+1	0.0
107.23600	73.79600	1.25283E+3	9.45531E+1	1.15828E+3	0.0	0.0	0.0	0.0	2.36383E+1	2.36383E+1	0.0
108.23900	74.79900	1.27575E+3	4.81416E+1	1.22761E+3	0.0	0.0	0.0	0.0	1.20354E+1	2.40708E+1	0.0
109.24100	75.80100	1.29820E+3	8.57304E+1	1.21247E+3	0.0	0.0	0.0	0.0	2.44944E+1	1.22472E+1	0.0
110.24300	76.80300	1.32000E+3	1.24528E+2	1.19547E+3	0.0	0.0	0.0	0.0	6.22642E+1	2.49057E+1	0.0
111.24500	77.80500	1.34120E+3	7.59168E+1	1.26528E+3	0.0	0.0	0.0	0.0	3.79584E+1	1.26528E+1	0.0
112.24800	78.80800	1.36210E+3	1.02800E+2	1.25930E+3	0.0	0.0	0.0	0.0	3.85501E+1	3.85501E+1	0.0
113.25000	79.81000	1.38270E+3	3.91331E+1	1.34357E+3	0.0	0.0	0.0	0.0	0.0	1.30444E+1	0.0
114.25200	80.81200	1.40263E+3	5.29292E+1	1.34970E+3	0.0	0.0	0.0	0.0	1.32323E+1	1.32323E+1	1.32323E+1
115.25400	81.81400	1.42205E+3	1.20739E+2	1.30131E+3	0.0	0.0	0.0	0.0	4.02466E+1	1.34155E+1	1.34155E+1
116.25600	82.81600	1.44132E+3	8.15842E+1	1.35974E+3	0.0	0.0	0.0	0.0	2.71947E+1	0.0	0.0
117.25900	83.81900	1.46001E+3	8.26420E+1	1.37737E+3	0.0	0.0	0.0	0.0	5.50946E+1	0.0	0.0
118.26100	84.82100	1.47822E+3	4.18365E+1	1.43638E+3	0.0	0.0	0.0	0.0	1.39455E+1	0.0	0.0
119.26300	85.82300	1.49642E+3	7.05859E+1	1.42584E+3	0.0	0.0	0.0	0.0	4.23515E+1	0.0	0.0
120.26500	86.82500	1.51377E+3	7.14040E+1	1.44236E+3	0.0	0.0	0.0	0.0	1.42808E+1	0.0	0.0
121.26700	87.82700	1.53079E+3	7.22071E+1	1.45859E+3	0.0	0.0	0.0	0.0	4.33243E+1	0.0	0.0
122.27000	88.83000	1.54823E+3	5.84240E+1	1.48981E+3	0.0	0.0	0.0	0.0	1.46060E+1	1.46060E+1	0.0
123.27200	89.83200	1.56415E+3	1.03293E+2	1.46085E+3	0.0	0.0	0.0	0.0	0.0	2.95122E+1	2.95122E+1
124.27400	90.83400	1.58026E+3	7.45403E+1	1.50572E+3	0.0	0.0	0.0	0.0	2.98161E+1	0.0	2.98161E+1
125.27600	91.83600	1.59689E+3	9.03899E+1	1.50650E+3	0.0	0.0	0.0	0.0	1.50650E+1	0.0	0.0
126.27900	92.83900	1.61125E+3	1.52005E+2	1.45925E+3	0.0	0.0	0.0	0.0	1.52005E+1	0.0	0.0
127.28100	93.84100	1.62719E+3	1.53509E+2	1.47368E+3	0.0	0.0	0.0	0.0	3.07017E+1	0.0	1.53509E+1
128.28300	94.84300	1.64219E+3	4.64772E+1	1.59571E+3	0.0	0.0	0.0	0.0	1.54924E+1	0.0	1.54924E+1

