Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 72849 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	9n	8n	6n	7n	2n
64.14000	30.70000	5.85393E-2	4.89020E-2	9.63722E-3	4.74757E-2	0.0	2.46696E-4	0.0	0.0	0.0	0.0	1.02375E-3
65.14220	31.70220	0.29552E+0	0.23882E+0	5.67040E-2	0.22901E+0	0.0	6.05659E-3	0.0	0.0	0.0	0.0	2.91674E-3
66.14430	32.70430	1.19610E+0	0.91358E+0	0.28252E+0	0.83734E+0	0.0	6.61353E-2	0.0	0.0	0.0	0.0	6.15709E-3
67.14650	33.70650	3.48009E+0	2.38703E+0	1.09305E+0	2.02421E+0	0.0	0.34304E+0	0.0	0.0	0.0	0.0	8.50328E-3
68.14870	34.70870	7.58685E+0	4.55009E+0	3.03676E+0	3.38773E+0	0.0	1.12612E+0	0.0	0.0	0.0	0.0	1.05186E-2
69.15090	35.71090	1.37054E+1	7.10792E+0	6.59751E+0	4.41571E+0	0.0	2.63276E+0	0.0	0.0	0.0	0.0	9.59487E-3
70.15300	36.71300	2.19123E+1	9.77963E+0	1.21327E+1	4.82620E+0	0.0	4.86891E+0	0.0	0.0	0.0	0.0	6.91820E-3
71.15520	37.71520	3.24220E+1	1.30055E+1	1.94165E+1	4.75944E+0	0.0	8.11651E+0	0.0	0.0	0.0	0.0	4.89563E-3
72.15740	38.71740	4.57469E+1	1.66644E+1	2.90825E+1	4.42529E+0	6.27968E-4	1.20846E+1	0.0	0.0	0.0	0.0	2.51187E-3
73.15950	39.71950	6.35856E+1	2.18262E+1	4.17593E+1	4.04125E+0	1.74568E-2	1.75135E+1	0.0	0.0	0.0	0.0	5.23704E-3
74.16170	40.72170	8.97841E+1	3.17792E+1	5.80049E+1	3.81326E+0	0.21075E+0	2.73312E+1	0.0	0.0	0.0	0.0	1.23247E-3
75.16390	41.72390	1.28087E+2	4.73777E+1	8.07088E+1	3.76089E+0	1.16396E+0	4.18199E+1	0.0	0.0	0.0	0.0	1.75825E-3
76.16610	42.72610	1.75038E+2	6.23079E+1	1.12730E+2	3.53924E+0	3.65698E+0	5.40425E+1	0.0	0.0	0.0	0.0	0.0
77.16820	43.72820	2.24446E+2	7.24861E+1	1.51960E+2	2.67120E+0	7.94583E+0	6.05966E+1	0.0	0.0	0.0	0.0	0.0
78.17040	44.73040	2.73438E+2	7.37897E+1	1.99648E+2	1.78666E+0	1.38766E+1	5.65500E+1	0.0	0.0	0.0	0.0	0.0
79.17260	45.73260	3.21258E+2	7.45011E+1	2.46757E+2	1.18627E+0	2.05149E+1	5.10845E+1	0.0	0.0	0.0	0.0	0.0
80.17480	46.73480	3.67772E+2	7.19702E+1	2.95802E+2	0.82794E+0	2.71453E+1	4.20432E+1	0.0	0.0	0.0	0.0	0.0
81.17690	47.73690	4.12990E+2	6.91009E+1	3.43889E+2	0.47053E+0	3.17074E+1	3.45986E+1	0.0	0.0	0.0	0.0	0.0
82.17910	48.73910	4.56950E+2	6.74176E+1	3.89533E+2	0.34499E+0	3.75037E+1	2.73484E+1	0.0	0.0	0.0	0.0	0.0
83.18130	49.74130	4.99699E+2	6.54590E+1	4.34240E+2	0.21264E+0	4.16570E+1	2.12435E+1	0.0	0.0	1.37187E-2	0.0	0.0
84.18340	50.74340	5.41279E+2	6.38622E+1	4.77417E+2	0.19318E+0	4.50119E+1	1.61309E+1	0.0	0.0	0.11145E+0	0.0	0.0
85.18560	51.74560	5.81734E+2	6.00908E+1	5.21643E+2	0.11179E+0	4.52777E+1	1.17067E+1	0.0	0.0	0.44718E+0	0.0	0.0
86.18780	52.74780	6.21104E+2	5.85048E+1	5.62599E+2	8.52591E-2	4.66794E+1	7.97173E+0	0.0	0.0	0.80143E+0	0.0	0.0
87.19000	53.75000	6.59428E+2	5.65568E+1	6.02871E+2	1.81040E-2	4.57940E+1	5.88379E+0	0.0	0.0	1.84660E+0	0.0	0.0
88.19210	54.75210	6.96742E+2	5.55776E+1	6.41165E+2	9.56420E-3	4.50474E+1	4.02653E+0	0.0	0.0	3.45268E+0	0.0	0.0
89.19430	55.75430	7.33083E+2	5.50347E+1	6.78048E+2	1.00630E-2	4.25767E+1	3.42144E+0	0.0	0.0	5.56486E+0	0.0	0.0
90.19650	56.75650	7.68483E+2	5.39158E+1	7.14567E+2	0.0	3.91367E+1	2.46846E+0	0.0	0.0	8.73456E+0	0.0	0.0
91.19860	57.75860	8.02975E+2	5.02954E+1	7.52679E+2	0.0	3.40704E+1	1.51008E+0	0.0	0.0	1.13421E+1	0.0	0.0
92.20080	58.76080	8.36588E+2	5.14707E+1	7.85117E+2	1.14839E-2	3.01911E+1	1.29768E+0	0.0	0.0	1.56410E+1	0.0	0.0
93.20300	59.76300	8.69353E+2	4.88802E+1	8.20472E+2	1.19336E-2	2.57886E+1	0.88308E+0	0.0	0.0	1.81630E+1	1.19336E-2	0.0
94.20520	60.76520	9.01297E+2	4.67171E+1	8.54580E+2	0.0	2.11192E+1	0.60623E+0	0.0	0.0	2.03769E+1	0.12372E+0	0.0
95.20730	61.76730	9.32448E+2	4.71158E+1	8.85333E+2	0.0	1.83676E+1	0.48639E+0	0.0	0.0	2.31931E+1	0.21759E+0	0.0
96.20950	62.76950	9.62832E+2	4.45935E+1	9.18239E+2	0.0	1.42081E+1	0.19825E+0	0.0	0.0	2.43057E+1	0.50223E+0	0.0
