Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 5541 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	5n	4n	8n	6n	7n	2n	9n	
64.14100	30.70100	5.86190E-2	4.38611E-2	1.47579E-2	4.26551E-2	0.0	4.33745E-4	0.0	0.0	0.0	6.87644E-4	0.0
65.14320	31.70320	0.29592E+0	0.20733E+0	8.86025E-2	0.19600E+0	0.0	9.02581E-3	0.0	0.0	0.0	1.81584E-3	0.0
66.14540	32.70540	1.19755E+0	0.78518E+0	0.41236E+0	0.69808E+0	0.0	8.16953E-2	0.0	0.0	0.0	3.67413E-3	0.0
67.14770	33.70770	3.48340E+0	1.93188E+0	1.55153E+0	1.50753E+0	0.0	0.40988E+0	0.0	0.0	0.0	5.02928E-3	0.0
68.14990	34.70990	7.59250E+0	3.55029E+0	4.04221E+0	2.37737E+0	0.0	1.14963E+0	0.0	0.0	0.0	5.48096E-3	0.0
69.15210	35.71210	1.37137E+1	5.49191E+0	8.22178E+0	2.92539E+0	0.0	2.52197E+0	0.0	0.0	0.0	2.47495E-3	0.0
70.15430	36.71430	2.19234E+1	7.37505E+0	1.45483E+1	2.90808E+0	0.0	4.42345E+0	0.0	0.0	0.0	7.91315E-3	0.0
71.15650	37.71650	3.24358E+1	9.10263E+0	2.33332E+1	2.69274E+0	0.0	6.35135E+0	0.0	0.0	0.0	0.0	0.0
72.15870	38.71870	4.57602E+1	1.22225E+1	3.35376E+1	2.51057E+0	8.25847E-3	9.58808E+0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	1.63488E+1	4.72668E+1	2.13544E+0	3.44426E-2	1.40641E+1	0.0	0.0	0.0	0.0	0.0
74.16320	40.72320	8.98311E+1	2.43830E+1	6.54481E+1	2.15621E+0	0.25939E+0	2.17566E+1	0.0	0.0	0.0	0.0	0.0
75.16540	41.72540	1.28153E+2	3.51548E+1	9.29981E+1	1.82712E+0	1.50333E+0	3.14080E+1	0.0	0.0	0.0	0.0	0.0
76.16760	42.72760	1.75114E+2	4.74682E+1	1.27646E+2	1.67497E+0	4.20324E+0	4.08631E+1	0.0	0.0	0.0	0.0	0.0
77.16980	43.72980	2.24525E+2	5.31631E+1	1.71362E+2	0.97249E+0	7.98257E+0	4.35192E+1	0.0	0.0	0.0	0.0	0.0
78.17210	44.73210	2.73518E+2	5.18306E+1	2.21687E+2	0.54298E+0	1.33772E+1	3.66763E+1	0.0	0.0	0.0	0.0	0.0
79.17430	45.73430	3.21338E+2	5.21935E+1	2.69145E+2	0.52193E+0	1.77458E+1	3.29399E+1	0.0	0.0	0.0	0.0	0.0
80.17650	46.73650	3.67852E+2	4.97242E+1	3.18128E+2	0.26554E+0	2.23062E+1	2.61566E+1	0.0	0.0	0.0	0.0	0.0
81.17870	47.73870	4.13070E+2	4.72633E+1	3.65806E+2	0.22364E+0	2.62408E+1	1.97552E+1	0.0	0.0	0.0	0.0	0.0
82.18090	48.74090	4.57030E+2	4.61896E+1	4.10840E+2	8.24815E-2	2.96933E+1	1.56715E+1	0.0	0.0	0.0	0.0	0.0
83.18320	49.74320	4.99778E+2	4.06785E+1	4.59099E+2	0.0	2.88628E+1	1.05530E+1	0.0	0.0	0.0	0.0	0.0
84.18540	50.74540	5.41358E+2	4.19135E+1	4.99445E+2	0.0	3.28274E+1	7.81604E+0	0.0	9.77005E-2	0.0	0.0	0.0
85.18760	51.74760	5.81813E+2	4.63056E+1	5.35507E+2	0.0	3.63305E+1	8.08511E+0	0.0	0.10500E+0	0.0	0.0	0.0
86.18980	52.74980	6.21183E+2	3.92373E+1	5.81946E+2	0.0	3.39683E+1	3.47531E+0	0.0	0.33632E+0	0.0	0.0	0.0
87.19200	53.75200	6.59506E+2	4.17771E+1	6.17729E+2	0.0	3.39216E+1	2.85655E+0	0.0	2.73753E+0	0.0	0.0	0.0
88.19420	54.75420	6.96820E+2	3.82302E+1	6.58590E+2	0.0	3.01817E+1	2.01211E+0	0.0	3.01817E+0	0.0	0.0	0.0
89.19650	55.75650	7.33161E+2	4.02239E+1	6.92937E+2	0.0	3.05649E+1	2.51400E+0	0.0	5.16031E+0	0.0	0.0	0.0
90.19870	56.75870	7.68560E+2	3.81437E+1	7.30417E+2	0.0	2.64925E+1	0.83222E+0	0.0	8.73837E+0	0.0	0.0	0.0
91.20090	57.76090	8.03051E+2	3.34785E+1	7.69573E+2	0.0	2.17393E+1	0.57971E+0	0.0	9.27545E+0	0.0	0.0	0.0
92.20310	58.76310	8.36664E+2	3.26150E+1	8.04049E+2	0.0	1.94784E+1	0.30199E+0	0.0	9.66369E+0	0.0	0.0	0.0
93.20530	59.76530	8.69429E+2	3.56182E+1	8.33811E+2	0.0	1.82014E+1	0.47072E+0	0.0	1.39648E+1	0.0	0.0	0.0
94.20760	60.76760	9.01373E+2	3.22093E+1	8.69163E+2	0.0	1.44779E+1	0.48802E+0	0.0	1.39899E+1	0.0	0.0	0.0
95.20980	61.76980	9.32524E+2	3.28176E+1	8.99706E+2	0.0	1.09392E+1	0.16829E+0	0.0	1.75027E+1	0.33659E+0	0.0	0.0
96.21200	62.77200	9.62907E+2	3.40607E+1	9.28847E+2	0.0	9.90538E+0	0.0	0.0	2.06797E+1	0.34755E+0	0.0	0.0
97.21420	63.77420	9.92547E+2	3.38552E+1	9.58692E+2	0.0	8.59814E+0	0.0	0.0	2.16745E+1	0.89563E+0	0.0	0.0
98.21640	64.77640	1.02147E+3	2.98643E+1	9.91603E+2	0.0	5.34607E+0	0.0	0.0	1.86191E+1	2.21217E+0	0.0	0.0
99.21870	65.77870	1.04969E+3	2.65217E+1	1.02317E+3	0.0	3.59937E+0	0.18944E+0	0.0	1.79969E+1	1.32609E+0	0.0	0.0
100.22100	66.78100	1.07724E+3	3.24669E+1	1.04478E+3	0.0	2.91620E+0	0.0	0.0	2.00245E+1	3.69385E+0	0.0	0.0
101.22300	67.78300	1.10415E+3	2.74990E+1	1.07665E+3	0.0	1.99269E+0	0.19926E+0	0.0	1.69378E+1	4.18464E+0	0.0	0.0
102.22500	68.78500	1.13043E+3	2.85618E+1	1.10187E+3	0.0	2.44815E+0	0.0	0.0	1.55050E+1	5.71235E+0	0.0	0.0
103.22800	69.78800	1.15612E+3	2.92107E+1	1.12691E+3	0.0	1.25189E+0	0.0	0.0	1.29362E+1	7.92861E+0	0.0	0.0
104.23000	70.79000	1.18119E+3	2.62203E+1	1.15497E+3	0.0	0.63951E+0	0.0	0.0	1.10850E+1	7.67423E+0	0.0	0.0
105.23200	71.79200	1.20564E+3	3.02445E+1	1.17540E+3	0.0	0.65275E+0	0.0	0.0	1.32728E+1	1.06617E+1	0.0	0.0
106.23400	72.79400	1.22949E+3	2.32984E+1	1.20619E+3	0.0	0.0	0.0	0.0	9.09749E+0	9.76316E+0	0.0	0.0
107.23600	73.79600	1.25283E+3	3.30108E+1	1.21982E+3	0.0	0.67830E+0	0.0	0.0	9.04406E+0	1.56010E+1	0.0	0.0
