Evaporation residue cross section (mb) calculated using Monte-Carlo procedure (statistics: 9782 events for each energy)
Ecm(MeV)	E^*(MeV)	Sigma_fus	Sigma_surv	Sigma_fiss	3n	4n	8n	7n	6n	5n	2n	9n	
64.14100	30.70100	5.86190E-2	4.77845E-2	1.08345E-2	4.65560E-2	1.13858E-4	0.0	0.0	0.0	0.0	1.04869E-3	0.0
65.14320	31.70320	0.29592E+0	0.23264E+0	6.32881E-2	0.22438E+0	4.14458E-3	0.0	0.0	0.0	0.0	3.60004E-3	0.0
66.14540	32.70540	1.19755E+0	0.88084E+0	0.31671E+0	0.82880E+0	4.44398E-2	0.0	0.0	0.0	0.0	5.50907E-3	0.0
67.14770	33.70770	3.48340E+0	2.30684E+0	1.17657E+0	1.99952E+0	0.29485E+0	0.0	0.0	0.0	0.0	9.97089E-3	0.0
68.14990	34.70990	7.59250E+0	4.29766E+0	3.29484E+0	3.30261E+0	0.97176E+0	0.0	0.0	0.0	0.0	1.00902E-2	0.0
69.15210	35.71210	1.37137E+1	6.57645E+0	7.13723E+0	4.27168E+0	2.27393E+0	0.0	0.0	0.0	0.0	1.12154E-2	0.0
70.15430	36.71430	2.19234E+1	8.99840E+0	1.29250E+1	4.72220E+0	4.23810E+0	0.0	0.0	0.0	0.0	1.12060E-2	0.0
71.15650	37.71650	3.24358E+1	1.15923E+1	2.08435E+1	4.50626E+0	7.01637E+0	0.0	0.0	0.0	0.0	3.31586E-3	0.0
72.15870	38.71870	4.57602E+1	1.47029E+1	3.10572E+1	4.02308E+0	1.06003E+1	0.0	0.0	0.0	0.0	0.0	0.0
73.16100	39.72100	6.36156E+1	1.94124E+1	4.42031E+1	4.18164E+0	1.50422E+1	0.0	0.0	0.0	1.95100E-2	6.50333E-3	0.0
74.16320	40.72320	8.98311E+1	2.69622E+1	6.28689E+1	3.71006E+0	2.29766E+1	0.0	0.0	0.0	0.11020E+0	0.0	0.0
75.16540	41.72540	1.28153E+2	4.12285E+1	8.69244E+1	3.43243E+0	3.66170E+1	0.0	0.0	0.0	0.75985E+0	0.0	0.0
76.16760	42.72760	1.75114E+2	5.36871E+1	1.21427E+2	2.77476E+0	4.75468E+1	0.0	0.0	0.0	2.77476E+0	1.79016E-2	0.0
77.16980	43.72980	2.24525E+2	5.99529E+1	1.64572E+2	2.27234E+0	5.12997E+1	0.0	0.0	0.0	6.08251E+0	0.0	0.0
78.17210	44.73210	2.73518E+2	5.90543E+1	2.14463E+2	1.25826E+0	4.66395E+1	0.0	0.0	0.0	1.02338E+1	0.0	0.0
79.17430	45.73430	3.21338E+2	5.78158E+1	2.63522E+2	0.75554E+0	3.94856E+1	0.0	0.0	0.0	1.67206E+1	0.0	0.0
80.17650	46.73650	3.67852E+2	5.58811E+1	3.11971E+2	0.56407E+0	3.34685E+1	0.0	0.0	0.0	2.10212E+1	0.0	0.0
81.17870	47.73870	4.13070E+2	5.48113E+1	3.58258E+2	0.29559E+0	2.68567E+1	0.0	0.0	0.0	2.65189E+1	0.0	0.0
82.18090	48.74090	4.57030E+2	5.08797E+1	4.06150E+2	9.34430E-2	2.20058E+1	0.0	0.0	0.0	2.75657E+1	0.0	0.0
83.18320	49.74320	4.99778E+2	4.79749E+1	4.51803E+2	5.10916E-2	1.68091E+1	0.0	0.0	0.0	3.01440E+1	0.0	0.0
84.18540	50.74540	5.41358E+2	4.70963E+1	4.94262E+2	0.0	1.21200E+1	0.0	0.0	0.11068E+0	3.37588E+1	0.0	0.0
85.18760	51.74760	5.81813E+2	4.47869E+1	5.37026E+2	5.94779E-2	8.14848E+0	0.0	0.0	0.23791E+0	3.52109E+1	0.0	0.0
86.18980	52.74980	6.21183E+2	4.12767E+1	5.79906E+2	0.0	5.46123E+0	0.0	0.0	0.38101E+0	3.41644E+1	0.0	0.0
87.19200	53.75200	6.59506E+2	4.15309E+1	6.17975E+2	0.0	4.24749E+0	0.0	0.0	1.14615E+0	3.47889E+1	0.0	0.0
88.19420	54.75420	6.96820E+2	4.11026E+1	6.55718E+2	0.0	2.56446E+0	0.0	0.0	2.77816E+0	3.45490E+1	0.0	0.0
89.19650	55.75650	7.33161E+2	3.88990E+1	6.94262E+2	0.0	1.49900E+0	0.0	0.0	4.64690E+0	3.10293E+1	0.0	0.0
90.19870	56.75870	7.68560E+2	3.67703E+1	7.31790E+2	0.0	1.17853E+0	0.0	0.0	6.36408E+0	2.73420E+1	0.0	0.0
91.20090	57.76090	8.03051E+2	3.55470E+1	7.67504E+2	0.0	0.73885E+0	0.0	0.0	9.27671E+0	2.37254E+1	0.0	0.0
92.20310	58.76310	8.36664E+2	3.55808E+1	8.01084E+2	0.0	0.76977E+0	0.0	0.0	1.17177E+1	2.10406E+1	0.0	0.0
93.20530	59.76530	8.69429E+2	3.42190E+1	8.35210E+2	0.0	0.0	0.0	0.0	1.35987E+1	1.86649E+1	0.0	0.0
94.20760	60.76760	9.01373E+2	2.97632E+1	8.71610E+2	0.0	0.36858E+0	0.0	9.21461E-2	1.23476E+1	1.46512E+1	0.0	0.0
95.20980	61.76980	9.32524E+2	3.14591E+1	9.01065E+2	0.0	9.53306E-2	0.0	0.19066E+0	1.85895E+1	1.02957E+1	0.0	0.0
96.21200	62.77200	9.62907E+2	2.83498E+1	9.34557E+2	0.0	0.0	0.0	9.84366E-2	1.65374E+1	9.64679E+0	0.0	0.0
97.21420	63.77420	9.92547E+2	3.03385E+1	9.62209E+2	0.0	0.0	0.0	0.40586E+0	1.81625E+1	8.72614E+0	0.0	0.0
98.21640	64.77640	1.02147E+3	2.81942E+1	9.93273E+2	0.0	0.0	0.0	1.14865E+0	1.71254E+1	6.16097E+0	0.0	0.0
99.21870	65.77870	1.04969E+3	2.70417E+1	1.02265E+3	0.0	0.10730E+0	0.0	1.60963E+0	1.93155E+1	3.21925E+0	0.0	0.0
100.22100	66.78100	1.07724E+3	2.62097E+1	1.05103E+3	0.0	0.0	0.0	2.86325E+0	1.71795E+1	3.08350E+0	0.0	0.0
101.22300	67.78300	1.10415E+3	2.63000E+1	1.07785E+3	0.0	0.0	0.0	4.62790E+0	1.53511E+1	2.93476E+0	0.0	0.0
102.22500	68.78500	1.13043E+3	2.96996E+1	1.10073E+3	0.0	0.0	0.0	4.85363E+0	1.81433E+1	2.54238E+0	0.0	0.0
103.22800	69.78800	1.15612E+3	2.50559E+1	1.13106E+3	0.0	0.0	0.0	5.43666E+0	1.47735E+1	1.89101E+0	0.0	0.0
104.23000	70.79000	1.18119E+3	2.53578E+1	1.15583E+3	0.0	0.0	0.0	8.45261E+0	1.02639E+1	0.84526E+0	0.0	0.0
105.23200	71.79200	1.20564E+3	2.45271E+1	1.18112E+3	0.0	0.0	0.0	1.04764E+1	9.86011E+0	0.86276E+0	0.0	0.0
106.23400	72.79400	1.22949E+3	2.03617E+1	1.20913E+3	0.0	0.0	0.0	8.92394E+0	7.91843E+0	0.25137E+0	0.0	0.0
107.23600	73.79600	1.25283E+3	2.34377E+1	1.22939E+3	0.0	0.0	0.12807E+0	1.17829E+1	8.32487E+0	0.12807E+0	0.0	0.0
108.23900	74.79900	1.27575E+3	2.06061E+1	1.25515E+3	0.0	0.0	0.13041E+0	9.91179E+0	5.73840E+0	0.26083E+0	0.0	0.0
109.24100	75.80100	1.29820E+3	2.08360E+1	1.27737E+3	0.0	0.0	0.92899E+0	9.68808E+0	4.91040E+0	0.26542E+0	0.0	0.0
110.24300	76.80300	1.32000E+3	1.91617E+1	1.30084E+3	0.0	0.0	0.67471E+0	1.10652E+1	2.69884E+0	0.13494E+0	0.0	0.0
111.24500	77.80500	1.34120E+3	2.13889E+1	1.31981E+3	0.0	0.0	0.95976E+0	1.26140E+1	2.05663E+0	0.13710E+0	0.0	0.0
112.24800	78.80800	1.36210E+3	2.20008E+1	1.34010E+3	0.0	0.0	1.39246E+0	1.22536E+1	2.78492E+0	0.27849E+0	0.0	0.0
113.25000	79.81000	1.38270E+3	2.23336E+1	1.36037E+3	0.0	0.0	1.69622E+0	1.08841E+1	3.10974E+0	0.14135E+0	0.0	0.0
114.25200	80.81200	1.40263E+3	2.06479E+1	1.38198E+3	0.0	0.0	2.29422E+0	1.21880E+1	1.72066E+0	0.0	0.0	0.0
115.25400	81.81400	1.42205E+3	2.48589E+1	1.39719E+3	0.0	0.0	4.21584E+0	1.39559E+1	1.16299E+0	0.0	0.0	0.0
116.25600	82.81600	1.44132E+3	1.79760E+1	1.42334E+3	0.0	0.0	3.38891E+0	7.07251E+0	1.03141E+0	0.0	0.0	0.0
117.25900	83.81900	1.46001E+3	1.70150E+1	1.44299E+3	0.0	0.0	3.73136E+0	7.46272E+0	0.74627E+0	0.0	0.0	0.0
118.26100	84.82100	1.47822E+3	1.81339E+1	1.46008E+3	0.0	0.0	2.56897E+0	7.40469E+0	1.05781E+0	0.0	0.0	0.0
119.26300	85.82300	1.49642E+3	2.18757E+1	1.47455E+3	0.0	0.0	5.81313E+0	7.80183E+0	0.45893E+0	0.0	0.0	0.0
120.26500	86.82500	1.51377E+3	1.88795E+1	1.49489E+3	0.0	0.0	5.41626E+0	6.80901E+0	0.46425E+0	0.0	0.0	0.15475E+0
121.26700	87.82700	1.53079E+3	1.98743E+1	1.51092E+3	0.0	0.0	7.04209E+0	6.25963E+0	0.0	0.0	0.0	0.15649E+0
122.27000	88.83000	1.54823E+3	1.59856E+1	1.53225E+3	0.0	0.0	6.17267E+0	4.58994E+0	0.15827E+0	0.0	0.0	0.0
123.27200	89.83200	1.56415E+3	1.80687E+1	1.54608E+3	0.0	0.0	7.51532E+0	4.47721E+0	0.0	0.0	0.0	0.15990E+0
