Calc. Date= 11-10-2019, Time= 00:15:11
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number, Energy (keV), X, Y, Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name, Mass,   Energy , Energy Interval
            O     018.00  130000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 1.3000E+05  0.0000E+00  0.0000E+00  0.0000E+00  2.5845E+02  0.0000E+00
0000001 1.2887E+05  4.1084E+03 -2.9662E+00 -2.6495E+00  2.5962E+02  4.3355E+00
0000001 1.2783E+05  8.1353E+03 -1.5345E+01 -2.0424E+01  2.6069E+02  1.0750E+02
0000001 1.2682E+05  1.2141E+04 -3.1265E+01 -5.4146E+01  2.6175E+02  3.9779E+00
0000001 1.2596E+05  1.5330E+04 -3.9926E+01 -8.8577E+01  2.6266E+02  4.5369E+00
0000001 1.2496E+05  1.9298E+04 -5.2733E+01 -1.3212E+02  2.6372E+02  2.1448E+01
0000001 1.2386E+05  2.3244E+04 -5.5415E+01 -1.7974E+02  2.6492E+02  4.5637E+00
0000001 1.2281E+05  2.7168E+04 -5.6282E+01 -2.2256E+02  2.6605E+02  1.8154E+01
0000001 1.2197E+05  3.0292E+04 -6.7046E+01 -2.4603E+02  2.6697E+02  1.7488E+01
0000001 1.2083E+05  3.4952E+04 -8.4943E+01 -2.6066E+02  2.6824E+02  5.6172E+00
0000001 1.1983E+05  3.8814E+04 -8.3520E+01 -2.8128E+02  2.6937E+02  2.7776E+01
0000001 1.1898E+05  4.1888E+04 -8.3048E+01 -2.8909E+02  2.7033E+02  1.0670E+01
0000001 1.1790E+05  4.5710E+04 -7.8693E+01 -2.8521E+02  2.7157E+02  8.5115E+00
